"family","base_case","D","n_vector","n_tilde","n_candidates","total_units"
"deep_stress","d10n100eq_stress",10,"100;100;100;100;100;100;100;100;100;100","100;100;100;100;100;100;100;100;100",54,1000
"deep_stress","d4n250eq_stress",4,"250;250;250;250","250;250;250",54,1000
"deep_stress","d5n200eq_stress",5,"200;200;200;200;200","200;200;200;200",54,1000
"deep_stress","d6n200x200x150x150x150x150_stress",6,"200;200;150;150;150;150","200;200;150;150;150",54,1000
"deep_stress","d8n125eq_stress",8,"125;125;125;125;125;125;125;125","125;125;125;125;125;125;125",54,1000
"positive_control_d1n300","d1n300_refine",1,"300","",360,300
"shallow_capacity_ladder","d1n400_ladder",1,"400","",144,400
"shallow_capacity_ladder","d1n500_ladder",1,"500","",144,500
"shallow_capacity_ladder","d1n700_ladder",1,"700","",144,700
"shallow_capacity_ladder","d1n1000_ladder",1,"1000","",144,1000
"three_layer_ladder","d3n200x200x200_ladder",3,"200;200;200","200;200",81,600
"three_layer_ladder","d3n300x300x300_ladder",3,"300;300;300","300;300",81,900
"three_layer_ladder","d3n300x300x400_ladder",3,"300;300;400","300;300",81,1000
"three_layer_ladder","d3n333x334x333_ladder",3,"333;334;333","333;334",81,1000
"three_layer_ladder","d3n400x300x300_ladder",3,"400;300;300","400;300",81,1000
"two_layer_ladder","d2n250x250_ladder",2,"250;250","250",81,500
"two_layer_ladder","d2n350x350_ladder",2,"350;350","350",81,700
"two_layer_ladder","d2n400x300_ladder",2,"400;300","400",81,700
"two_layer_ladder","d2n500x500_ladder",2,"500;500","500",81,1000
"two_layer_ladder","d2n600x400_ladder",2,"600;400","600",81,1000
