"pilot_rank","spec_id","pilot_role","config_path","model_grid_path","run_id_template","D","n_vector","total_units","n_tilde","n_tilde_rule","m","washout","alpha","rho","pi_w","pi_in","win_scale_global","win_scale_bias","input_bound","launch_seed","rhs_tau0","rhs_alpha_tau0","rhs_slab_s2","vb_max_iter","vb_n_draws","multiseed_decision","multiseed_triage_class","multiseed_fail_rate","multiseed_rejected_seeds","max_saturation_fraction","min_relative_effective_rank_entropy","max_condition_cov","max_abs_corr","source_shortlist_metrics","source_shortlist_grid","launch_status"
1,"d1n300_refine_m100_a0p92_r0p97_w0p20_boundnone","current_control","application/config/glofas_latent_path_al_vb_dec25_diverse8_d1n300_m100_a92_r97_w20_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d1n300_m100_a92_r97_w20_tau3em3_main1000.csv","diverse8_01_d1n300_m100_a92_r97_w20_YYYYMMDD_HHMMSS",1,"300",300,"","none for D=1",100,500,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,0.003,0.003,1,1000,2000,"repair","main_admissible","0","","0.2926258503","0.1156561328","1568.092713","0.8859052821","application/outputs/generated/reservoir_screening/reservoir_shortlist_multiseed_full_20260525/pilot_triage_candidates.csv","application/config/reservoir_candidate_grid_latent_path_shortlist_multiseed_20260525.csv","prepared_not_launched"
2,"d1n300_refine_m100_a0p92_r0p95_w0p15_boundnone","d1_n300_lower_rho_scale","application/config/glofas_latent_path_al_vb_dec25_diverse8_d1n300_m100_a92_r95_w15_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d1n300_m100_a92_r95_w15_tau3em3_main1000.csv","diverse8_02_d1n300_m100_a92_r95_w15_YYYYMMDD_HHMMSS",1,"300",300,"","none for D=1",100,500,0.92,0.95,0.03,1,0.15,0.15,"none",20260512,0.003,0.003,1,1000,2000,"repair","main_admissible","0","","0.2027053488","0.1118732367","1796.112806","0.8946257083","application/outputs/generated/reservoir_screening/reservoir_shortlist_multiseed_full_20260525/pilot_triage_candidates.csv","application/config/reservoir_candidate_grid_latent_path_shortlist_multiseed_20260525.csv","prepared_not_launched"
3,"d1n400_ladder_m120_a0p92_r0p90_w0p10_boundnone","d1_n400_capacity","application/config/glofas_latent_path_al_vb_dec25_diverse8_d1n400_m120_a92_r90_w10_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d1n400_m120_a92_r90_w10_tau3em3_main1000.csv","diverse8_03_d1n400_m120_a92_r90_w10_YYYYMMDD_HHMMSS",1,"400",400,"","none for D=1",120,500,0.92,0.9,0.03,1,0.1,0.1,"none",20260512,0.003,0.003,1,1000,2000,"repair","main_admissible","0","","0.126087435","0.09321289473","2650.963088","0.8765424042","application/outputs/generated/reservoir_screening/reservoir_shortlist_multiseed_full_20260525/pilot_triage_candidates.csv","application/config/reservoir_candidate_grid_latent_path_shortlist_multiseed_20260525.csv","prepared_not_launched"
4,"d1n500_ladder_m100_a0p92_r0p93_w0p10_boundnone","d1_n500_capacity","application/config/glofas_latent_path_al_vb_dec25_diverse8_d1n500_m100_a92_r93_w10_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d1n500_m100_a92_r93_w10_tau3em3_main1000.csv","diverse8_04_d1n500_m100_a92_r93_w10_YYYYMMDD_HHMMSS",1,"500",500,"","none for D=1",100,500,0.92,0.93,0.03,1,0.1,0.1,"none",20260512,0.003,0.003,1,1000,2000,"repair","main_admissible","0","","0.09928883553","0.07043697621","4842.356018","0.9099374989","application/outputs/generated/reservoir_screening/reservoir_shortlist_multiseed_full_20260525/pilot_triage_candidates.csv","application/config/reservoir_candidate_grid_latent_path_shortlist_multiseed_20260525.csv","prepared_not_launched"
5,"d1n700_ladder_m120_a0p92_r0p93_w0p10_boundnone","d1_n700_capacity","application/config/glofas_latent_path_al_vb_dec25_diverse8_d1n700_m120_a92_r93_w10_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d1n700_m120_a92_r93_w10_tau3em3_main1000.csv","diverse8_05_d1n700_m120_a92_r93_w10_YYYYMMDD_HHMMSS",1,"700",700,"","none for D=1",120,500,0.92,0.93,0.03,1,0.1,0.1,"none",20260512,0.003,0.003,1,1000,2000,"repair","main_admissible","0","","0.1250662551","0.06056491824","6165.771501","0.9025241743","application/outputs/generated/reservoir_screening/reservoir_shortlist_multiseed_full_20260525/pilot_triage_candidates.csv","application/config/reservoir_candidate_grid_latent_path_shortlist_multiseed_20260525.csv","prepared_not_launched"
6,"d1n1000_ladder_m120_a0p92_r0p93_w0p15_boundnone","d1_n1000_capacity_edge","application/config/glofas_latent_path_al_vb_dec25_diverse8_d1n1000_m120_a92_r93_w15_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d1n1000_m120_a92_r93_w15_tau3em3_main1000.csv","diverse8_06_d1n1000_m120_a92_r93_w15_YYYYMMDD_HHMMSS",1,"1000",1000,"","none for D=1",120,500,0.92,0.93,0.03,1,0.15,0.15,"none",20260512,0.003,0.003,1,1000,2000,"repair","main_admissible","0","","0.2406641056","0.05035116636","7458.701538","0.8887909976","application/outputs/generated/reservoir_screening/reservoir_shortlist_multiseed_full_20260525/pilot_triage_candidates.csv","application/config/reservoir_candidate_grid_latent_path_shortlist_multiseed_20260525.csv","prepared_not_launched"
7,"d2n250x250_ladder_m120_a0p92_r0p90_w0p025_boundnone","d2_balanced_250x250","application/config/glofas_latent_path_al_vb_dec25_diverse8_d2n250x250_m120_a92_r90_w025_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d2n250x250_m120_a92_r90_w025_tau3em3_main1000.csv","diverse8_07_d2n250x250_m120_a92_r90_w025_YYYYMMDD_HHMMSS",2,"250;250",500,"250","identity/no-reduction pass-through from each previous layer",120,500,0.92,0.9,0.03,1,0.025,0.025,"none",20260512,0.003,0.003,1,1000,2000,"repair","main_admissible","0","","0.2896632253","0.07286908465","14052.92516","0.9177234141","application/outputs/generated/reservoir_screening/reservoir_shortlist_multiseed_full_20260525/pilot_triage_candidates.csv","application/config/reservoir_candidate_grid_latent_path_shortlist_multiseed_20260525.csv","prepared_not_launched"
8,"d2n400x300_ladder_m120_a0p92_r0p93_w0p050_boundnone","d2_uneven_400x300","application/config/glofas_latent_path_al_vb_dec25_diverse8_d2n400x300_m120_a92_r93_w050_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d2n400x300_m120_a92_r93_w050_tau3em3_main1000.csv","diverse8_08_d2n400x300_m120_a92_r93_w050_YYYYMMDD_HHMMSS",2,"400;300",700,"400","identity/no-reduction pass-through from each previous layer",120,500,0.92,0.93,0.03,1,0.05,0.05,"none",20260512,0.003,0.003,1,1000,2000,"repair","main_admissible","0","","0.2918269022","0.06322331446","10768.21808","0.9106135371","application/outputs/generated/reservoir_screening/reservoir_shortlist_multiseed_full_20260525/pilot_triage_candidates.csv","application/config/reservoir_candidate_grid_latent_path_shortlist_multiseed_20260525.csv","prepared_not_launched"
