fold_id,wet_season,origin_date,primary_horizon,secondary_horizon,phase,panel,ridge_pass,primary
conf18_oct,2018-2019,2018-09-30,28,30,october,confirmation,locked,true
conf18_nov,2018-2019,2018-10-31,28,30,november,confirmation,locked,true
conf18_op,2018-2019,2018-12-25,28,30,operational,confirmation,locked,true
conf18_feb,2018-2019,2019-01-31,28,30,february,confirmation,locked,true
conf19_oct,2019-2020,2019-09-30,28,30,october,confirmation,locked,true
conf19_nov,2019-2020,2019-10-31,28,30,november,confirmation,locked,true
conf19_op,2019-2020,2019-12-25,28,30,operational,confirmation,locked,true
conf19_mar,2019-2020,2020-02-29,28,30,march,confirmation,locked,true
conf20_oct,2020-2021,2020-09-30,28,30,october,confirmation,locked,true
conf20_op,2020-2021,2020-12-25,28,30,operational,confirmation,locked,true
conf20_feb,2020-2021,2021-01-31,28,30,february,confirmation,locked,true
conf20_mar,2020-2021,2021-02-28,28,30,march,confirmation,locked,true
conf21_nov,2021-2022,2021-10-31,28,30,november,confirmation,locked,true
conf21_op,2021-2022,2021-12-25,28,30,operational,confirmation,locked,true
conf21_feb,2021-2022,2022-01-31,28,30,february,confirmation,locked,true
conf21_mar,2021-2022,2022-02-28,28,30,march,confirmation,locked,true
conf_guard_sep19,2019-2020,2019-08-31,28,30,guardrail,confirmation,locked_guard,false
conf_guard_may22,2021-2022,2022-05-11,28,30,guardrail,confirmation,locked_guard,false
