"spec_id","family","base_case","D","n_vector","n_tilde","m","washout","alpha","rho","pi_w","pi_in","win_scale_global","win_scale_bias","input_bound","launch_seed","rationale","config_path","model_grid_path","screening_only"
"d1n300_refine_m100_a0p92_r0p97_w0p20_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",100,500,0.92,0.97,0.03,1,0.2,0.2,"none",20260512,"Diverse pilot batch rank 1: current_control.","application/config/glofas_latent_path_al_vb_dec25_diverse8_d1n300_m100_a92_r97_w20_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d1n300_m100_a92_r97_w20_tau3em3_main1000.csv",TRUE
"d1n300_refine_m100_a0p92_r0p95_w0p15_boundnone","positive_control_d1n300","d1n300_refine",1,"300","",100,500,0.92,0.95,0.03,1,0.15,0.15,"none",20260512,"Diverse pilot batch rank 2: d1_n300_lower_rho_scale.","application/config/glofas_latent_path_al_vb_dec25_diverse8_d1n300_m100_a92_r95_w15_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d1n300_m100_a92_r95_w15_tau3em3_main1000.csv",TRUE
"d1n400_ladder_m120_a0p92_r0p90_w0p10_boundnone","shallow_capacity_ladder","d1n400_ladder",1,"400","",120,500,0.92,0.9,0.03,1,0.1,0.1,"none",20260512,"Diverse pilot batch rank 3: d1_n400_capacity.","application/config/glofas_latent_path_al_vb_dec25_diverse8_d1n400_m120_a92_r90_w10_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d1n400_m120_a92_r90_w10_tau3em3_main1000.csv",TRUE
"d1n500_ladder_m100_a0p92_r0p93_w0p10_boundnone","shallow_capacity_ladder","d1n500_ladder",1,"500","",100,500,0.92,0.93,0.03,1,0.1,0.1,"none",20260512,"Diverse pilot batch rank 4: d1_n500_capacity.","application/config/glofas_latent_path_al_vb_dec25_diverse8_d1n500_m100_a92_r93_w10_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d1n500_m100_a92_r93_w10_tau3em3_main1000.csv",TRUE
"d1n700_ladder_m120_a0p92_r0p93_w0p10_boundnone","shallow_capacity_ladder","d1n700_ladder",1,"700","",120,500,0.92,0.93,0.03,1,0.1,0.1,"none",20260512,"Diverse pilot batch rank 5: d1_n700_capacity.","application/config/glofas_latent_path_al_vb_dec25_diverse8_d1n700_m120_a92_r93_w10_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d1n700_m120_a92_r93_w10_tau3em3_main1000.csv",TRUE
"d1n1000_ladder_m120_a0p92_r0p93_w0p15_boundnone","shallow_capacity_ladder","d1n1000_ladder",1,"1000","",120,500,0.92,0.93,0.03,1,0.15,0.15,"none",20260512,"Diverse pilot batch rank 6: d1_n1000_capacity_edge.","application/config/glofas_latent_path_al_vb_dec25_diverse8_d1n1000_m120_a92_r93_w15_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d1n1000_m120_a92_r93_w15_tau3em3_main1000.csv",TRUE
"d2n250x250_ladder_m120_a0p92_r0p90_w0p025_boundnone","two_layer_ladder","d2n250x250_ladder",2,"250;250","250",120,500,0.92,0.9,0.03,1,0.025,0.025,"none",20260512,"Diverse pilot batch rank 7: d2_balanced_250x250.","application/config/glofas_latent_path_al_vb_dec25_diverse8_d2n250x250_m120_a92_r90_w025_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d2n250x250_m120_a92_r90_w025_tau3em3_main1000.csv",TRUE
"d2n400x300_ladder_m120_a0p92_r0p93_w0p050_boundnone","two_layer_ladder","d2n400x300_ladder",2,"400;300","400",120,500,0.92,0.93,0.03,1,0.05,0.05,"none",20260512,"Diverse pilot batch rank 8: d2_uneven_400x300.","application/config/glofas_latent_path_al_vb_dec25_diverse8_d2n400x300_m120_a92_r93_w050_tau3em3_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_diverse8_d2n400x300_m120_a92_r93_w050_tau3em3_main1000.csv",TRUE
