candidate_id,role,legacy_run_id,expected_article_commit,expected_engine_commit,expected_design_hash
engine07,historical_reference,engine73c_07_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_20260527_1722,37419dac1851d938f4247690e8ebbf82cb40b759,73c043f0436b508808366f312350fd44c2d06771,ae35f1acc19dc65602ad244509fc41c5bb9df80f0ae838ca9ae5529af43d8ddd
memrefine11,historical_primary,engine73c_memrefine16_11_d1n300_m360_a92_r95_w018_bt1em01_at3em02_skip_20260529_1618,8a2135e09e24232e70081b6eb30cdf3589b8432a,73c043f0436b508808366f312350fd44c2d06771,ae35f1acc19dc65602ad244509fc41c5bb9df80f0ae838ca9ae5529af43d8ddd
