"fit_id","model_id","model_family","quantile_level","inference_method","coefficient_prior","reservoir_seed","likelihood_family","required","enabled","config_hash","notes"
"raw_glofas_latent_path_d1n300_m360_a92_r95_w018_bt1em01_at3em02_skip_p50_engine73c","raw_glofas_latent_path_d1n300_m360_a92_r95_w018_bt1em01_at3em02_skip_p50_engine73c","raw_glofas",0.5,"none","none",,"none","true","true","TO_BE_COMPUTED","Raw GloFAS ensemble median baseline for memory-refinement candidate 11/16 (m360_w18_beta1em1_alpha3em2)."
"qdesn_latent_path_rhs_al_vb_d1n300_m360_a92_r95_w018_bt1em01_at3em02_skip_p50_engine73c","qdesn_latent_path_rhs_al_vb_d1n300_m360_a92_r95_w018_bt1em01_at3em02_skip_p50_engine73c","qdesn_glofas_discrepancy",0.5,"vb_ld","rhs",20260512,"al","true","true","TO_BE_COMPUTED","Median-only memory-refinement latent-path two-block ensemble-likelihood Q-DESN candidate 11/16 (prior_refinement; m360_w18_beta1em1_alpha3em2) with input readout skip, beta RHS tau0=0.1, discrepancy RHS tau0=0.03, reservoir seed 20260512, frozen engine73c, and AL-VB max_iter=1000."
