"rank","role","config_path","model_grid_path","run_id_template","D","n","n_tilde","m","washout","alpha","rho","pi_w","pi_in","win_scale_global","win_scale_bias","include_input_block","rhs_tau0","rhs_alpha_tau0","rhs_slab_s2","rhs_alpha_slab_s2","vb_max_iter","vb_n_draws","seed","launch_status"
1,"m180_alpha_tau1em2_skip","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m180_a92_r95_w018_bt3em03_at1em02_skip_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m180_a92_r95_w018_bt3em03_at1em02_skip_main1000.csv","flex8_01_d1n300_m180_a92_r95_w018_bt3em03_at1em02_skip_YYYYMMDD_HHMMSS",1,300,"",180,500,0.92,0.95,0.03,1,0.18,0.18,TRUE,0.003,0.01,1,1,1000,2000,20260512,"prepared_not_launched"
2,"m180_alpha_tau3em2_skip","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m180_a92_r95_w018_bt3em03_at3em02_skip_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m180_a92_r95_w018_bt3em03_at3em02_skip_main1000.csv","flex8_02_d1n300_m180_a92_r95_w018_bt3em03_at3em02_skip_YYYYMMDD_HHMMSS",1,300,"",180,500,0.92,0.95,0.03,1,0.18,0.18,TRUE,0.003,0.03,1,1,1000,2000,20260512,"prepared_not_launched"
3,"m180_alpha_tau1em1_skip","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m180_a92_r95_w018_bt3em03_at1em01_skip_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m180_a92_r95_w018_bt3em03_at1em01_skip_main1000.csv","flex8_03_d1n300_m180_a92_r95_w018_bt3em03_at1em01_skip_YYYYMMDD_HHMMSS",1,300,"",180,500,0.92,0.95,0.03,1,0.18,0.18,TRUE,0.003,0.1,1,1,1000,2000,20260512,"prepared_not_launched"
4,"m360_alpha_tau3em2_skip","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em03_at3em02_skip_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em03_at3em02_skip_main1000.csv","flex8_04_d1n300_m360_a92_r95_w018_bt3em03_at3em02_skip_YYYYMMDD_HHMMSS",1,300,"",360,500,0.92,0.95,0.03,1,0.18,0.18,TRUE,0.003,0.03,1,1,1000,2000,20260512,"prepared_not_launched"
5,"m360_alpha_tau1em1_skip","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em03_at1em01_skip_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em03_at1em01_skip_main1000.csv","flex8_05_d1n300_m360_a92_r95_w018_bt3em03_at1em01_skip_YYYYMMDD_HHMMSS",1,300,"",360,500,0.92,0.95,0.03,1,0.18,0.18,TRUE,0.003,0.1,1,1,1000,2000,20260512,"prepared_not_launched"
6,"m360_w18_both_tau3em2_skip","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_main1000.csv","flex8_06_d1n300_m360_a92_r95_w018_bt3em02_at3em02_skip_YYYYMMDD_HHMMSS",1,300,"",360,500,0.92,0.95,0.03,1,0.18,0.18,TRUE,0.03,0.03,1,1,1000,2000,20260512,"prepared_not_launched"
7,"m180_w22_alpha_tau1em1_skip","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m180_a92_r95_w022_bt3em03_at1em01_skip_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m180_a92_r95_w022_bt3em03_at1em01_skip_main1000.csv","flex8_07_d1n300_m180_a92_r95_w022_bt3em03_at1em01_skip_YYYYMMDD_HHMMSS",1,300,"",180,500,0.92,0.95,0.03,1,0.22,0.22,TRUE,0.003,0.1,1,1,1000,2000,20260512,"prepared_not_launched"
8,"m360_w22_alpha_tau1em1_skip","application/config/glofas_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w022_bt3em03_at1em01_skip_main1000.yaml","application/config/model_grid_latent_path_al_vb_dec25_flex8_d1n300_m360_a92_r95_w022_bt3em03_at1em01_skip_main1000.csv","flex8_08_d1n300_m360_a92_r95_w022_bt3em03_at1em01_skip_YYYYMMDD_HHMMSS",1,300,"",360,500,0.92,0.95,0.03,1,0.22,0.22,TRUE,0.003,0.1,1,1,1000,2000,20260512,"prepared_not_launched"
