candidate_id,role,include_input_block,direct_output_lag_max,direct_covariate_lag_max,alpha,rhs_tau0,rhs_alpha_tau0,retain_heavy,priority,expected_design_hash,description
fr01_historical_parity,historical_parity,true,360,360,0.92,0.10,0.03,true,1,ae35f1acc19dc65602ad244509fc41c5bb9df80f0ae838ca9ae5529af43d8ddd,Exact memrefine11 cold-start reproduction
fr02_engine07_prior,prior_control,true,360,360,0.92,0.03,0.03,false,2,,Historical engine07 balanced-prior control
fr03_direct_off,direct_block_ablation,false,,,0.92,0.10,0.03,false,3,,Historical reservoir with direct readout block disabled
fr04_direct_lag180,direct_lag_ablation,true,180,180,0.92,0.10,0.03,false,4,,Historical reservoir with a 180-day direct block
fr05_direct_lag90,direct_lag_ablation,true,90,90,0.92,0.10,0.03,false,5,,Historical reservoir with a 90-day direct block
fr06_direct360_alpha010,leak_ablation,true,360,360,0.10,0.10,0.03,false,6,,Full direct block with low leak
fr07_direct360_alpha050,leak_ablation,true,360,360,0.50,0.10,0.03,false,7,,Full direct block with intermediate leak
fr08_direct360_tight_prior,prior_ablation,true,360,360,0.92,0.001,0.001,false,8,,Full direct block with tightly shrunk shared and discrepancy readouts
fr09_direct180_alpha010,interaction_ablation,true,180,180,0.10,0.10,0.03,false,9,,Shorter direct block by low-leak interaction
fr10_direct90_balanced_prior,interaction_ablation,true,90,90,0.92,0.03,0.03,false,10,,Short direct block by balanced historical prior interaction
