fold,method_id,baseline_method_id,AQL,baseline_AQL,delta_AQL,ratio_AQL,MAE,baseline_MAE,delta_MAE,ratio_MAE,RMSE,baseline_RMSE,delta_RMSE,ratio_RMSE
2,pricefm_phase1_pretraining,pricefm_phase1_pretraining,5.355079281228597,5.355079281228597,0.0,1.0,13.235906561866322,13.235906561866322,0.0,1.0,20.01396106495478,20.01396106495478,0.0,1.0
2,qdesn_exal_rhs_ns_exact_chunked,pricefm_phase1_pretraining,5.609819164092624,5.355079281228597,0.254739882864027,1.047569768716026,14.066581722577707,13.235906561866322,0.8306751607113849,1.0627592191610529,21.26397036762608,20.01396106495478,1.2500093026712982,1.0624568669147714
2,qdesn_al_rhs_ns_exact_chunked,pricefm_phase1_pretraining,5.648170694224723,5.355079281228597,0.2930914129961266,1.0547314797044207,14.088665066102124,13.235906561866322,0.8527585042358012,1.064427661244804,21.234694007309194,20.01396106495478,1.220732942354413,1.060994070009058
2,normal_rhs_ns,pricefm_phase1_pretraining,6.798668609926643,5.355079281228597,1.443589328698046,1.2695738480956436,15.848698233962018,13.235906561866322,2.612791672095696,1.1974017918518216,22.23817347007075,20.01396106495478,2.224212405115967,1.1111330434738702
2,normal_scaled_ridge,pricefm_phase1_pretraining,38.53732603680602,5.355079281228597,33.182246755577424,7.196406255252404,53.64251852902568,13.235906561866322,40.40661196715936,4.052802751235337,74.28777546579599,20.01396106495478,54.2738144008412,3.711797740821868
3,pricefm_phase1_pretraining,pricefm_phase1_pretraining,6.029767217747077,6.029767217747077,0.0,1.0,14.783423903435038,14.783423903435038,0.0,1.0,25.51797483671577,25.51797483671577,0.0,1.0
3,qdesn_exal_rhs_ns_exact_chunked,pricefm_phase1_pretraining,6.876661172549746,6.029767217747077,0.8468939548026695,1.1404521806928225,17.00911181139775,14.783423903435038,2.2256879079627137,1.1505529383788795,26.90075468241856,25.51797483671577,1.3827798457027924,1.0541884634086722
3,qdesn_al_rhs_ns_exact_chunked,pricefm_phase1_pretraining,6.9055921474372735,6.029767217747077,0.8758249296901965,1.145250205864072,17.014503942279582,14.783423903435038,2.231080038844544,1.1509176800596332,26.87734948824589,25.51797483671577,1.3593746515301213,1.053271259189982
3,normal_rhs_ns,pricefm_phase1_pretraining,8.337357058989593,6.029767217747077,2.307589841242516,1.3826996562074096,20.722608709907924,14.783423903435038,5.939184806472886,1.401746229105483,28.58182559812064,25.51797483671577,3.063850761404872,1.120066375996129
3,normal_scaled_ridge,pricefm_phase1_pretraining,25.2845819451675,6.029767217747077,19.254814727420424,4.193293212173897,24.9541360588095,14.783423903435038,10.170712155374462,1.6879808237800191,32.842906412355354,25.51797483671577,7.324931575639585,1.2870498784684248
