method_id,AQL_mean,AQL_std,AQL_min,AQL_max,AQCR_mean,AQCR_std,AQCR_min,AQCR_max,MAE_mean,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max
pricefm_phase1_pretraining,5.569462008620629,0.3989478075985632,5.323539526886216,6.029767217747075,0.0,0.0,0.0,0.0,13.714243416124091,0.9276446677761812,13.12339978307092,14.783423903435038,22.53270952125163,2.781505057491205,20.01396106495478,25.517974836715773
qdesn_exal_rhs_ns_exact_chunked,5.926596913191333,1.0345791726994793,5.074280316840853,7.077683745273667,0.0014692946124019,0.0012264968429471,0.000390625,0.0028033925318761,14.688496627420554,2.460466429722884,12.62102876748352,17.409855378813788,22.925932378363807,4.043362487873711,20.02926441693945,27.545349178758805
qdesn_al_rhs_ns_exact_chunked,5.974806798882512,1.03880778097645,5.119165520005391,7.13065910468481,0.0112447594264762,0.0051121413163389,0.0060040509259259,0.0162178184281842,14.71578466505496,2.4217973850746657,12.662026224292903,17.386336533685462,22.91964625286008,3.994770334570908,20.053754725820472,27.482797974843272
normal_rhs_ns,7.412828362755107,0.9529057051599168,6.690491043483006,8.492816110073457,0.0,0.0,0.0,0.0,17.90823437579788,2.829819019823951,15.85818183365432,21.13685750559755,24.875397218722057,3.860303203619001,22.086782344964995,29.28129246575436
normal_scaled_ridge,34.78492083960088,5.352148018427138,29.85840880325456,40.47967771309725,0.0,0.0,0.0,0.0,26.01926632119063,1.8158900375811935,24.48183626929581,28.02276402244356,34.232328864640685,1.786692583775207,32.373559524591634,35.936957234599326
