fold,method_id,delta_AQL,ratio_AQL,delta_MAE,delta_RMSE
1,qdesn_exal_rhs_ns_exact_chunked,-0.2492592100453627,0.9531779169128932,-0.5023710155873999,-2.0369282451448782
1,qdesn_al_rhs_ns_exact_chunked,-0.2043740068808244,0.9616093755200564,-0.4613735587780159,-2.012437936263858
1,pricefm_phase1_pretraining,0.0,1.0,0.0,0.0
1,normal_rhs_ns,1.3669515165967905,1.2567749351147075,2.734782050583401,0.020589682880665
1,normal_scaled_ridge,35.15613818621104,7.603902912462109,14.899364239372638,13.870764572514997
2,pricefm_phase1_pretraining,0.0,1.0,0.0,0.0
2,qdesn_exal_rhs_ns_exact_chunked,0.2727606047937021,1.0509349330736937,0.7987325166805626,1.1892023837731571
2,qdesn_al_rhs_ns_exact_chunked,0.3195501550932649,1.0596723481225383,0.8631755288230369,1.2084562795493952
2,normal_rhs_ns,1.700151147126772,1.3174838425056357,3.4939493339664374,3.244364895825356
2,normal_scaled_ridge,28.661564613959108,6.352220407721656,11.245661506615727,12.359320980240913
3,pricefm_phase1_pretraining,0.0,1.0,0.0,0.0
3,qdesn_exal_rhs_ns_exact_chunked,0.985349604982856,1.1634142031358576,2.3350842655481703,1.437007289967191
3,qdesn_al_rhs_ns_exact_chunked,1.1061918347308897,1.1834551475677364,2.408398205660559,1.5016930566245676
3,normal_rhs_ns,2.453901400409056,1.4069645330895402,6.414035873413914,3.477536235803317
3,normal_scaled_ridge,20.57221190081444,4.411775472901407,17.538467547054204,16.109787909183144
