region,fold,qdesn_method_id,qdesn_AQL,deprecated_R92_method_id,deprecated_R92_AQL,delta_AQL_qdesn_minus_deprecated_R92,authority_transition_rule,R92_case_fallback_used,test_evidence_path,test_evidence_sha256
AT,1,qdesn_al_rhs_ns_r98_region_frozen,6.811123672807097,qdesn_exal_rhs_ns_exact_chunked,6.739249934522802,0.07187373828429511,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=AT/fold=1/score/test_metric.csv,8366854fc77b03d6051a91d5e3f7f9978dca6d5293662a8c9d1c253c956d9801
AT,2,qdesn_al_rhs_ns_r98_region_frozen,6.944002915485355,qdesn_exal_rhs_ns_exact_chunked,6.87229102788184,0.07171188760351566,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=AT/fold=2/score/test_metric.csv,d91946bdc2c09be06573ac2b46c7ad0444551c0f1fe54a8af006a5ace7f2d612
AT,3,qdesn_al_rhs_ns_r98_region_frozen,9.860031874796306,qdesn_exal_rhs_ns_exact_chunked,7.646580096734823,2.213451778061483,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=AT/fold=3/score/test_metric.csv,8a369d6c6c35d9c5ac2fc7b51c7777d5e3a09c121677cc8a8ec93ce85153104b
BE,1,qdesn_exal_rhs_ns_r98_region_frozen,5.528270415765069,qdesn_al_rhs_ns_exact_chunked,5.669390199115978,-0.14111978335090924,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=BE/fold=1/score/test_metric.csv,e892164003f91397b1a4c7230bf9bd70ddb74ddc247473ce44b3c680eadd0e72
BE,2,qdesn_exal_rhs_ns_r98_region_frozen,6.463738587651144,qdesn_exal_rhs_ns_exact_chunked,6.3967543590098535,0.0669842286412905,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=BE/fold=2/score/test_metric.csv,159602061d001d9e84489b4692ead58f98ceae677f58ab90059e7ff62f3bd306
BE,3,qdesn_exal_rhs_ns_r98_region_frozen,5.495943723094341,qdesn_exal_rhs_ns_exact_chunked,5.566922976175035,-0.07097925308069364,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=BE/fold=3/score/test_metric.csv,f86964cf66f2d4fe2f09a344e9f3fb205c41d4bcc3a18b4c17bb78dd30a68384
BG,1,qdesn_al_rhs_ns_r98_region_frozen,10.09762725980426,qdesn_exal_rhs_ns_exact_chunked,7.722892178381238,2.3747350814230215,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=BG/fold=1/score/test_metric.csv,914e8e09421911523f7629b1082721398c17a3ecbc79829f0b0d33aef6a17138
BG,2,qdesn_al_rhs_ns_r98_region_frozen,8.397617846177125,qdesn_exal_rhs_ns_exact_chunked,7.349159054358303,1.0484587918188222,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=BG/fold=2/score/test_metric.csv,db318f84a3421a8fbd08f531d4051b950ec815e58d05c659e6e6478bfdcdc5ac
BG,3,qdesn_al_rhs_ns_r98_region_frozen,10.483208278194407,qdesn_exal_rhs_ns_exact_chunked,8.997503773220512,1.4857045049738957,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=BG/fold=3/score/test_metric.csv,b1514d9b7ab6ec42635ef14672c309092ae3c96b1b22ba8e7fd868feb090de65
CZ,1,qdesn_exal_rhs_ns_r98_region_frozen,6.911386573164172,qdesn_exal_rhs_ns_exact_chunked,6.1489934207526895,0.7623931524114829,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=CZ/fold=1/score/test_metric.csv,cdbd54aa169efd52c11e96567170fbc39c454d3a5bb64992b54060e1eec0de43
CZ,2,qdesn_exal_rhs_ns_r98_region_frozen,6.3903260081917805,qdesn_exal_rhs_ns_exact_chunked,6.370272863412463,0.0200531447793173,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=CZ/fold=2/score/test_metric.csv,842c18d09e07208f453a00a733fd04338a2bcdf227c64c8dc873df25bab6eef2
CZ,3,qdesn_exal_rhs_ns_r98_region_frozen,7.529963175752749,qdesn_exal_rhs_ns_exact_chunked,7.810778596057343,-0.2808154203045943,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=CZ/fold=3/score/test_metric.csv,8585a37ed9dfffc1e481f23c63bc8e7a5c472babdd18a01f31ba05b72fc35f05
DE_LU,1,qdesn_exal_rhs_ns_r98_region_frozen,5.022860845643483,qdesn_exal_rhs_ns_exact_chunked,5.302525873082846,-0.2796650274393633,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DE_LU/fold=1/score/test_metric.csv,76c9654182d9b31f8b0bdbc4fa317ebe923132f363e7f470e5dbf4e707efdeec
DE_LU,2,qdesn_exal_rhs_ns_r98_region_frozen,5.612595420393365,qdesn_exal_rhs_ns_exact_chunked,5.288746769127772,0.32384865126559337,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DE_LU/fold=2/score/test_metric.csv,12715749e7fce398aab68b691bcb16e23c16ceece6afb9beb78fd298faef4d16
DE_LU,3,qdesn_exal_rhs_ns_r98_region_frozen,7.19390912423477,qdesn_al_rhs_ns_exact_chunked,6.944708294545968,0.2492008296888013,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DE_LU/fold=3/score/test_metric.csv,61f0b3fbe73e86ed8ce46325673146b5f589b7de273e4524592513564461c09d
DK_1,1,qdesn_exal_rhs_ns_r98_region_frozen,6.144731266374995,qdesn_exal_rhs_ns_exact_chunked,6.139505792427964,0.005225473947031212,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DK_1/fold=1/score/test_metric.csv,28b0541a6515f00ecbd60177ff5176f739d7f9eed1cc56abf27e4d1042eb28b7
DK_1,2,qdesn_exal_rhs_ns_r98_region_frozen,5.735640189777048,qdesn_al_rhs_ns_exact_chunked,9.169474346736925,-3.4338341569598763,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DK_1/fold=2/score/test_metric.csv,8f9c79b4f6a54c45aa878e92631eef8580acd01fd02e46218f067c4ca3e421d4
DK_1,3,qdesn_exal_rhs_ns_r98_region_frozen,6.933747854516588,qdesn_exal_rhs_ns_exact_chunked,7.212994003401844,-0.2792461488852567,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DK_1/fold=3/score/test_metric.csv,1feeeb623f507a4e9723e97883a0eef72e34b6f82e6b720d295f453f0ba2a8a2
DK_2,1,qdesn_exal_rhs_ns_r98_region_frozen,7.728713375727158,qdesn_exal_rhs_ns_exact_chunked,6.314829162625138,1.41388421310202,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DK_2/fold=1/score/test_metric.csv,fe68526a0308d76cc57d353911145770e4b36d6c63b69377cc178e1c801dc1e4
DK_2,2,qdesn_exal_rhs_ns_r98_region_frozen,8.40559402569834,qdesn_exal_rhs_ns_exact_chunked,6.314901823540136,2.0906922021582037,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DK_2/fold=2/score/test_metric.csv,c8cd5fec53fda10f256bc4d8e29387ca9d8ca0ee221ef3f7967834e9d69b83cd
DK_2,3,qdesn_exal_rhs_ns_r98_region_frozen,7.945891824027549,qdesn_exal_rhs_ns_exact_chunked,7.407690324517049,0.5382014995104996,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=DK_2/fold=3/score/test_metric.csv,1c5941094ad2ea5ce6b01fb95a59a63063e196b4f7ef2ae531856e2795d70203
EE,1,qdesn_exal_rhs_ns_r98_region_frozen,15.338438021475714,qdesn_exal_rhs_ns_exact_chunked,15.483309889910569,-0.1448718684348549,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=EE/fold=1/score/test_metric.csv,483f0c7b7685e32c4ec568ede4de6902df59d9600612b3667cf2d55a57260b63
EE,2,qdesn_exal_rhs_ns_r98_region_frozen,12.952671580344484,qdesn_exal_rhs_ns_exact_chunked,12.462102646107738,0.4905689342367463,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=EE/fold=2/score/test_metric.csv,89ed63327bbc1487cfb93f6bf871df13071891c670a71418c96960b8cfad5669
EE,3,qdesn_exal_rhs_ns_r98_region_frozen,13.880973790450703,qdesn_exal_rhs_ns_exact_chunked,13.620500615515098,0.26047317493560485,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=EE/fold=3/score/test_metric.csv,abced60fcc76659b9ea7d693b67b43986a11e7d43e4b20ccf3271dc6542c981f
ES,1,qdesn_al_rhs_ns_r98_region_frozen,5.1524661565606005,qdesn_al_rhs_ns_exact_chunked,5.232137202854714,-0.0796710462941137,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=ES/fold=1/score/test_metric.csv,a6b1c325cbefafa38991ff62b5091f666e274f15d1f0176dd3b5cba1e9469bf9
ES,2,qdesn_al_rhs_ns_r98_region_frozen,5.641527046596819,qdesn_al_rhs_ns_exact_chunked,5.886921058463456,-0.24539401186663756,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=ES/fold=2/score/test_metric.csv,c821e9408a9dbd36f647b6188204acb8c75fd9c16d2040dfdf687918d6cdc4db
ES,3,qdesn_al_rhs_ns_r98_region_frozen,4.651019679741437,qdesn_al_rhs_ns_exact_chunked,4.880603524642613,-0.22958384490117556,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=ES/fold=3/score/test_metric.csv,f00dac41c766f9db8de3a201a69cec939ab35e988be6e11e8981da6221276251
FI,1,qdesn_exal_rhs_ns_r98_region_frozen,10.575035839420217,qdesn_exal_rhs_ns_exact_chunked,10.554770090730004,0.02026574869021225,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=FI/fold=1/score/test_metric.csv,e36ac5c419c39b529f26f24ea3853aa6dd3fb556da0a7ff4bae6e14156ee136f
FI,2,qdesn_exal_rhs_ns_r98_region_frozen,7.752073155881696,qdesn_exal_rhs_ns_exact_chunked,7.950607068915866,-0.19853391303416945,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=FI/fold=2/score/test_metric.csv,91e66c8036e514dfd6116d8c1163c288a48343fe87e481543cfce3e2f32cd5e7
FI,3,qdesn_exal_rhs_ns_r98_region_frozen,8.056215539009807,qdesn_exal_rhs_ns_exact_chunked,8.115846414914657,-0.05963087590484939,complete_114_case_replacement_regardless_of_performance,False,/data/jaguir26/local/src/Article-Q-DESN/application/data_local/pricefm/campaigns/pricefm_stage_r97_global_region_frozen_campaign_20260908/global_scoring/runs/region=FI/fold=3/score/test_metric.csv,ce66de06320ba43d31f051b029e9c1685876bf5583bbbbc6193c5d54ff875cfd
