"mcmc_case_id","case_id","scenario_id","source_model_id","model_id","display_label","likelihood_family","fit_structure","window","rows","raw_crossing_pairs","contract_crossing_pairs","raw_crossing_opportunities","raw_crossing_rate","mean_abs_monotone_adjustment","max_abs_monotone_adjustment","coherence_status"
"laplace_bridge__joint_qdesn_rhs","laplace_bridge__joint_qdesn_rhs","laplace_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,5,0,3000,0.00166666666666667,8.84521787680362e-05,0.0623138726569186,"review"
"laplace_bridge__joint_qdesn_rhs","laplace_bridge__joint_qdesn_rhs","laplace_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,424,0,5940,0.0713804713804714,0.0410809791406291,0.69485105672387,"review"
"laplace_bridge__qdesn_rhs_independent","laplace_bridge__qdesn_rhs_independent","laplace_bridge","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,19,0,3000,0.00633333333333333,0.000198456268972711,0.0588610095320037,"review"
"laplace_bridge__qdesn_rhs_independent","laplace_bridge__qdesn_rhs_independent","laplace_bridge","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,1512,0,5940,0.254545454545455,0.0770206886342372,0.703373560820102,"review"
"laplace_bridge__joint_exqdesn_rhs","laplace_bridge__joint_exqdesn_rhs","laplace_bridge","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0,0,3000,0,7.22794839853285e-17,6.66133814775094e-16,"review"
"laplace_bridge__joint_exqdesn_rhs","laplace_bridge__joint_exqdesn_rhs","laplace_bridge","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0,0,5940,0,6.11233446412723e-17,8.88178419700125e-16,"review"
"laplace_bridge__exqdesn_rhs_independent","laplace_bridge__exqdesn_rhs_independent","laplace_bridge","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0,0,3000,0,6.95951233150741e-17,7.7715611723761e-16,"review"
"laplace_bridge__exqdesn_rhs_independent","laplace_bridge__exqdesn_rhs_independent","laplace_bridge","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0,0,5940,0,6.10392368363764e-17,8.88178419700125e-16,"review"
"nonlinear_reservoir_friendly__joint_qdesn_rhs","nonlinear_reservoir_friendly__joint_qdesn_rhs","nonlinear_reservoir_friendly","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,11,0,3000,0.00366666666666667,0.000198085074023557,0.0813311475959471,"pass"
"nonlinear_reservoir_friendly__joint_qdesn_rhs","nonlinear_reservoir_friendly__joint_qdesn_rhs","nonlinear_reservoir_friendly","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,2,0,5940,0.000336700336700337,2.25431256097248e-05,0.0456239216954194,"pass"
