"family","role","n_scored_horizons","mean_check_loss","interval_score","coverage90","crps_grid_log1p","interval_score_original","crps_grid_original","median_mae_log1p","median_rmse_log1p","crossing_pairs","runtime_seconds","converged","numerical_status","crps_reduction_vs_raw"
"Normal Ridge","normal_baseline",28,0.433402936823075,13.8538894260557,0.25,0.80624199663304,637.863642646537,32.0318660934797,0.987716238278311,1.15260657711339,0,1027.86143660545,TRUE,"completed",0.438541189111284
"Joint AL","selected_quantile_model",28,0.418009863468546,5.38885821556115,0.928571428571429,0.837404276667239,240.634007095973,27.1316174215162,1.37364193796016,1.53062375953708,0,334809.870613575,FALSE,"cap_stabilized_after_rhs_release",0.416840090972451
"Independent AL","quantile_comparator",28,0.429177210555292,5.42386109180512,0.928571428571429,0.860593183977575,246.236892444001,28.052900715291,1.3813077239761,1.54863988602555,0,28792.5568335056,TRUE,"completed",0.400691569339193
"Normal RHS/VB","normal_baseline",28,0.50773720453145,16.6741102936825,0.178571428571429,0.941192302313427,690.751895082732,33.8583341166355,1.13223794584084,1.33372920088918,0,1501.0372338295,TRUE,"completed",0.344563154634293
"Joint exAL","nonconverged_quantile_sensitivity",28,0.501264060699406,6.18046927478347,0.785714285714286,1.00630100790788,271.946704440949,31.8290202559877,1.51624587964921,1.67546615890131,0,57129.2964503765,FALSE,"source_fit_not_qualified",0.299222107437267
"Independent exAL","quantile_comparator",28,0.522711148396133,6.65399408955231,0.75,1.04778845596024,325.765744211661,32.7871232511537,1.56012251903443,1.72416737366919,0,34752.0274448395,TRUE,"completed",0.27033066622289
"Raw GloFAS","raw_ensemble_baseline",28,0.771311999351633,24.5037461043031,0,1.43597710285616,805.18452337722,39.4007039823801,1.75075745519685,1.91900632037419,0,0,TRUE,"completed",0
