"model_id","origin_date","target_date","horizon","lower","upper","nominal","covered","interval_score"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-01,7,0.05,0.95,0.9,TRUE,4.41462228044696
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-02,8,0.05,0.95,0.9,TRUE,4.36945630680754
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-03,9,0.05,0.95,0.9,TRUE,4.43319772136469
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-04,10,0.05,0.95,0.9,TRUE,4.51296590252196
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-05,11,0.05,0.95,0.9,TRUE,4.57747637260469
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-06,12,0.05,0.95,0.9,TRUE,4.64665865739671
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-07,13,0.05,0.95,0.9,TRUE,4.70345663723175
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-08,14,0.05,0.95,0.9,TRUE,4.76030625527453
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-09,15,0.05,0.95,0.9,TRUE,4.73404149878185
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-10,16,0.05,0.95,0.9,TRUE,4.71028181012102
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-11,17,0.05,0.95,0.9,TRUE,4.74715655660704
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-12,18,0.05,0.95,0.9,TRUE,4.88655105364047
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-13,19,0.05,0.95,0.9,TRUE,4.88876919321157
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-14,20,0.05,0.95,0.9,TRUE,4.92071776273978
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-15,21,0.05,0.95,0.9,TRUE,5.0049852606548
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-16,22,0.05,0.95,0.9,TRUE,5.03406578352525
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-17,23,0.05,0.95,0.9,TRUE,4.99194942341205
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-18,24,0.05,0.95,0.9,TRUE,4.90239268493242
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-19,25,0.05,0.95,0.9,TRUE,4.94248620033327
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-20,26,0.05,0.95,0.9,TRUE,4.87686588741572
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-21,27,0.05,0.95,0.9,TRUE,4.87243566457545
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-22,28,0.05,0.95,0.9,TRUE,4.81784463653222
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-26,1,0.15,0.8,0.65,FALSE,1.67285748155915
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-27,2,0.15,0.8,0.65,FALSE,16.1759595565785
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-28,3,0.15,0.8,0.65,FALSE,5.62259056342308
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-29,4,0.15,0.8,0.65,FALSE,2.44592472863908
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-30,5,0.15,0.8,0.65,FALSE,7.20067789520489
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-31,6,0.15,0.8,0.65,FALSE,19.8693983636101
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-01,7,0.15,0.8,0.65,FALSE,10.3359658925701
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-02,8,0.15,0.8,0.65,FALSE,5.81807488968247
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-03,9,0.15,0.8,0.65,FALSE,3.6012676637445
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-04,10,0.15,0.8,0.65,FALSE,6.86346487581715
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-05,11,0.15,0.8,0.65,FALSE,10.9756389066624
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-06,12,0.15,0.8,0.65,FALSE,5.26692907222102
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-07,13,0.15,0.8,0.65,FALSE,3.30185828000492
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-08,14,0.15,0.8,0.65,FALSE,9.60282852912908
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-09,15,0.15,0.8,0.65,FALSE,17.3160163694339
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-10,16,0.15,0.8,0.65,FALSE,10.1786565994201
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-11,17,0.15,0.8,0.65,FALSE,9.63482173575676
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-12,18,0.15,0.8,0.65,FALSE,9.19011857121605
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-13,19,0.15,0.8,0.65,FALSE,10.3104132951124
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-14,20,0.15,0.8,0.65,FALSE,17.1394314214895
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-15,21,0.15,0.8,0.65,FALSE,12.264588139378
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-16,22,0.15,0.8,0.65,FALSE,14.0694520733094
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-17,23,0.15,0.8,0.65,FALSE,9.92404852922524
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-18,24,0.15,0.8,0.65,FALSE,8.26587605738904
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-19,25,0.15,0.8,0.65,FALSE,7.60775781103808
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-20,26,0.15,0.8,0.65,FALSE,6.89760642420908
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-21,27,0.15,0.8,0.65,FALSE,6.26173604282738
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2023-01-22,28,0.15,0.8,0.65,FALSE,5.60166055883096
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-26,1,0.15,0.8,0.65,TRUE,2.19192417953685
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-27,2,0.15,0.8,0.65,FALSE,5.60879605206308
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-28,3,0.15,0.8,0.65,TRUE,2.32187875595318
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-29,4,0.15,0.8,0.65,TRUE,2.36512502182076
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-30,5,0.15,0.8,0.65,TRUE,2.45812714667638
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate",2022-12-25,2022-12-31,6,0.15,0.8,0.65,FALSE,14.2680024521879
