"date","glofas_streamflow","value"
2022-10-27,1e-08,9.99999995e-09
2022-10-28,1e-08,9.99999995e-09
2022-10-29,1e-08,9.99999995e-09
2022-10-30,1e-08,9.99999995e-09
2022-10-31,1e-08,9.99999995e-09
2022-11-01,0.00781249999999995,0.0077821404420549
2022-11-02,0.109375,0.103796793681644
2022-11-03,0.124999999999999,0.117783035656383
2022-11-04,0.124999999999999,0.117783035656383
2022-11-05,0.124999999999999,0.117783035656383
2022-11-06,0.124999999999999,0.117783035656383
2022-11-07,0.124999999999999,0.117783035656383
2022-11-08,0.1640625,0.151916042025842
2022-11-09,0.484375,0.394993808240869
2022-11-10,0.578125000000001,0.456237433481588
2022-11-11,0.460937499999999,0.379078352934969
2022-11-12,0.34375,0.295464212893836
2022-11-13,0.2421875,0.216873938300614
2022-11-14,0.1796875,0.165249572895307
2022-11-15,0.1796875,0.165249572895307
2022-11-16,0.171875,0.158605030176639
2022-11-17,0.171875,0.158605030176639
2022-11-18,0.171875,0.158605030176639
2022-11-19,0.1640625,0.151916042025842
2022-11-20,0.1640625,0.151916042025842
2022-11-21,0.1640625,0.151916042025842
2022-11-22,0.1640625,0.151916042025842
2022-11-23,0.15625,0.145182009844498
2022-11-24,0.15625,0.145182009844498
2022-11-25,0.15625,0.145182009844498
2022-11-26,0.15625,0.145182009844498
2022-11-27,0.15625,0.145182009844498
2022-11-28,0.1484375,0.138402322859119
2022-11-29,0.1484375,0.138402322859119
2022-11-30,0.1484375,0.138402322859119
2022-12-01,0.15625,0.145182009844498
2022-12-02,0.421875,0.351976423157178
2022-12-03,0.3515625,0.301261330578162
2022-12-04,0.6171875,0.480688529345752
2022-12-05,0.96875,0.677398823591806
2022-12-06,0.898437499999999,0.641031179420931
2022-12-07,0.921875000000001,0.653301272012746
2022-12-08,0.765625,0.568504735352669
2022-12-09,0.6328125,0.490303988045194
2022-12-10,0.695312499999999,0.527867089620842
2022-12-11,1.5390625,0.93179491841012
2022-12-12,2.19531249999998,1.16168489212318
2022-12-13,2.57812500000001,1.27483892019457
2022-12-14,2.265625,1.18345116860514
2022-12-15,1.97656249999999,1.09076911120708
2022-12-16,1.71875000000001,1.00017221585486
2022-12-17,1.4921875,0.913160838865227
2022-12-18,1.28125,0.824723538348665
2022-12-19,1.09375,0.73895671659124
2022-12-20,0.9296875,0.65735807270836
2022-12-21,0.789062500000001,0.581691739634623
2022-12-22,0.65625,0.504556010752395
2022-12-23,0.53125,0.4260843953109
2022-12-24,0.4296875,0.357455888921804
2022-12-25,0.34375,0.295464212893836
