"case_id","scenario_id","source_model_id","likelihood_family","fit_structure","extension_posterior_score_mean","extension_posterior_score_median","extension_posterior_score_q025","extension_posterior_score_q975","extension_score_rank_rhat","extension_score_bulk_ess","extension_score_tail_ess","extension_score_functional_status","extension_coherence_status","extension_contract_crossing_pairs","baseline_posterior_score_mean","baseline_posterior_score_median","baseline_posterior_score_q025","baseline_posterior_score_q975","baseline_score_functional_status","baseline_coherence_status","baseline_contract_crossing_pairs","extension_reason","max_relative_loo_mean_shift","extension_source_manifests_pass","hard_eligible","absolute_mean_improvement","relative_mean_improvement","mean_metric_improved","mixing_review","coherence_review","mixing_blocks_promotion","coherence_review_blocks_promotion","promotion_decision","promotion_reason","claim_status"
"asymmetric_laplace_tail__joint_qdesn_rhs_vb","asymmetric_laplace_tail","joint_qdesn_rhs_vb","AL","joint",0.317457154740499,0.316721327464523,0.314638470467784,0.324113264847367,1.10346175520924,73.4203082421524,186.613381269011,"review","pass",0,0.317002607750402,0.316643817379747,0.314667665954849,0.321273736176476,"review","pass",0,"score_functional_review",0.00048971789522052,TRUE,TRUE,-0.000454546990097004,-0.00143389038128955,FALSE,TRUE,FALSE,FALSE,FALSE,"retain_phase180_baseline","retain_extension_mean_not_lower","descriptive_review"
"asymmetric_laplace_tail__joint_exqdesn_rhs_vb","asymmetric_laplace_tail","joint_exqdesn_rhs_vb","exAL","joint",0.316348003482585,0.316040803597745,0.314344204879885,0.320005869295222,1.06059986198637,130.156821401535,203.721108290459,"review","pass",0,0.316630873426641,0.316209690745596,0.314395254355209,0.321427367089358,"review","pass",0,"score_functional_review",0.000366312499941622,TRUE,TRUE,0.000282869944055963,0.000893374486810745,TRUE,TRUE,FALSE,FALSE,FALSE,"promote_phase181_extension","promote_strictly_lower_finite_mean_under_user_rule","descriptive_review"
"laplace_bridge__joint_qdesn_rhs_vb","laplace_bridge","joint_qdesn_rhs_vb","AL","joint",0.322146516185503,0.321901604348762,0.320429385422631,0.325237738423044,1.04044442086182,164.797845079391,260.926305447359,"review","pass",0,0.32201667323346,0.321788115402904,0.320358251040411,0.325157360756834,"review","pass",0,"score_functional_review",0.0005734118506164,TRUE,TRUE,-0.000129842952042991,-0.000403218102774622,FALSE,TRUE,FALSE,FALSE,FALSE,"retain_phase180_baseline","retain_extension_mean_not_lower","descriptive_review"
"laplace_bridge__joint_exqdesn_rhs_vb","laplace_bridge","joint_exqdesn_rhs_vb","exAL","joint",0.322152488412293,0.321790903519007,0.320124025540064,0.326219430251415,1.04759556106577,173.325220857223,468.787426479855,"review","review",0,0.322037318840475,0.321788004530861,0.320134446811195,0.325421645185452,"review","review",0,"score_functional_review",8.99234906917667e-05,TRUE,TRUE,-0.000115169571818008,-0.00035762802967273,FALSE,TRUE,TRUE,FALSE,FALSE,"retain_phase180_baseline","retain_extension_mean_not_lower","descriptive_review"
"laplace_bridge__exqdesn_rhs_independent_vb","laplace_bridge","exqdesn_rhs_independent_vb","exAL","independent",0.323118854220114,0.322704273326781,0.32059672380963,0.328177441894328,1.0146741749708,800.38722116094,3628.13478751947,"pass","review",0,13.6353327057436,0.322636216724292,0.320551031361208,281.946407118118,"review","review",0,"score_functional_review_and_chain_mean_instability",0.973193264130955,TRUE,TRUE,13.3122138515235,0.97630282581341,TRUE,FALSE,TRUE,FALSE,FALSE,"promote_phase181_extension","promote_strictly_lower_finite_mean_under_user_rule","descriptive_review"
"nonlinear_reservoir_friendly__joint_exqdesn_rhs_vb","nonlinear_reservoir_friendly","joint_exqdesn_rhs_vb","exAL","joint",0.429313242968698,0.429080631063735,0.425765269687944,0.434221505413579,1.00350152383951,1274.76089971714,1700.50629524861,"pass","review",0,0.429529689801553,0.429299529819355,0.425824783412053,0.434660086186397,"review","review",0,"score_functional_review",0.000270461828113253,TRUE,TRUE,0.000216446832854988,0.000503915882869445,TRUE,FALSE,TRUE,FALSE,FALSE,"promote_phase181_extension","promote_strictly_lower_finite_mean_under_user_rule","descriptive_review"
"normal_bridge__joint_qdesn_rhs_vb","normal_bridge","joint_qdesn_rhs_vb","AL","joint",0.310095568091147,0.309880029576911,0.307950376706533,0.313476285009436,1.0400806929436,179.841950301676,563.616272901489,"review","pass",0,0.310132327548173,0.309967758988334,0.308025854977923,0.313266711931432,"review","pass",0,"score_functional_review",0.000452742550631015,TRUE,TRUE,3.67594570259699e-05,0.000118528298280224,TRUE,TRUE,FALSE,FALSE,FALSE,"promote_phase181_extension","promote_strictly_lower_finite_mean_under_user_rule","descriptive_review"
"normal_bridge__joint_exqdesn_rhs_vb","normal_bridge","joint_exqdesn_rhs_vb","exAL","joint",0.311861004505202,0.311395132654192,0.3084117069264,0.317901350592624,1.11147800846673,63.4795690389275,186.907830597307,"review","review",0,0.311986948141658,0.311552799671849,0.308508049636743,0.31804416007128,"review","review",0,"score_functional_review",0.000494693318271557,TRUE,TRUE,0.000125943636456016,0.000403682388658231,TRUE,TRUE,TRUE,FALSE,FALSE,"promote_phase181_extension","promote_strictly_lower_finite_mean_under_user_rule","descriptive_review"
"normal_bridge__exqdesn_rhs_independent_vb","normal_bridge","exqdesn_rhs_independent_vb","exAL","independent",0.311988992226769,0.311648318049873,0.308700202293495,0.317301314282896,1.0118991621482,2181.14478947841,4585.08788284365,"pass","review",0,0.312729804426441,0.312261639836007,0.308908020327292,0.319281897560958,"review","review",0,"score_functional_review",0.000725329866492704,TRUE,TRUE,0.000740812199671981,0.00236885704268149,TRUE,FALSE,TRUE,FALSE,FALSE,"promote_phase181_extension","promote_strictly_lower_finite_mean_under_user_rule","descriptive_review"
"persistent_heavy_tail__joint_qdesn_rhs_vb","persistent_heavy_tail","joint_qdesn_rhs_vb","AL","joint",0.364443991019506,0.364251922023049,0.361290420843789,0.368720914953572,1.01342831275102,529.184910742099,1241.33856847558,"pass","pass",0,0.364425109647277,0.364243754461716,0.36136351388518,0.368485705580954,"review","pass",0,"score_functional_review",0.000335086706077097,TRUE,TRUE,-1.8881372228996e-05,-5.18113920505397e-05,FALSE,FALSE,FALSE,FALSE,FALSE,"retain_phase180_baseline","retain_extension_mean_not_lower","descriptive_hard_gates_pass"
"persistent_heavy_tail__qdesn_rhs_independent_vb","persistent_heavy_tail","qdesn_rhs_independent_vb","AL","independent",0.363558707186034,0.363365375401658,0.360729190453782,0.367473815663084,1.00499434695999,7440.909087944,7394.38121407365,"pass","review",0,0.363720458991849,0.363507430284159,0.36080157470719,0.367883849450637,"review","review",0,"score_functional_review",0.000303662135045967,TRUE,TRUE,0.000161751805815014,0.000444714620297558,TRUE,FALSE,TRUE,FALSE,FALSE,"promote_phase181_extension","promote_strictly_lower_finite_mean_under_user_rule","descriptive_review"
"persistent_heavy_tail__joint_exqdesn_rhs_vb","persistent_heavy_tail","joint_exqdesn_rhs_vb","exAL","joint",0.364307941635654,0.363944513141461,0.360816959738861,0.369757536175995,1.05210038318182,182.175808166842,650.563496441613,"review","review",0,0.364538591870904,0.364228009508338,0.360907220341971,0.370280820541492,"review","review",0,"score_functional_review",0.000513275207659359,TRUE,TRUE,0.000230650235249985,0.000632718292091463,TRUE,TRUE,TRUE,FALSE,FALSE,"promote_phase181_extension","promote_strictly_lower_finite_mean_under_user_rule","descriptive_review"
