"case_id","scenario_id","source_model_id","display_label","posterior_realized_acrps_mean","canonical_action_realized_acrps","phase181_promoted","score_functional_status","coherence_status","oracle_quantile_mae","oracle_quantile_rmse","raw_crossing_pairs","contract_crossing_pairs"
"asymmetric_laplace_tail__exqdesn_rhs_independent_vb","asymmetric_laplace_tail","exqdesn_rhs_independent_vb","Independent exQDESN RHS",0.315514816286761,0.313073318416431,FALSE,"pass","review",0.0891936970854368,0.14573671215701,0,0
"asymmetric_laplace_tail__joint_exqdesn_rhs_vb","asymmetric_laplace_tail","joint_exqdesn_rhs_vb","Joint exQDESN RHS",0.3149488695066,0.31316713881876,TRUE,"review","pass",0.093564240852091,0.14998604860175,0,0
"asymmetric_laplace_tail__joint_qdesn_rhs_vb","asymmetric_laplace_tail","joint_qdesn_rhs_vb","Joint QDESN RHS",0.315602252475665,0.313563190895776,FALSE,"review","pass",0.0866827184782021,0.136010848296408,1,0
"asymmetric_laplace_tail__qdesn_rhs_independent_vb","asymmetric_laplace_tail","qdesn_rhs_independent_vb","Independent QDESN RHS",0.315719344066792,0.313523782507496,FALSE,"pass","review",0.0855639751390839,0.14051883050419,6,0
"gaussian_mixture_bridge__exqdesn_rhs_independent_vb","gaussian_mixture_bridge","exqdesn_rhs_independent_vb","Independent exQDESN RHS",0.405654413918697,0.402392965176382,FALSE,"pass","review",0.094066816967159,0.118742672888134,0,0
"gaussian_mixture_bridge__joint_exqdesn_rhs_vb","gaussian_mixture_bridge","joint_exqdesn_rhs_vb","Joint exQDESN RHS",0.405718079477701,0.403542188295395,FALSE,"pass","review",0.105536948644638,0.131502183483285,0,0
"gaussian_mixture_bridge__joint_qdesn_rhs_vb","gaussian_mixture_bridge","joint_qdesn_rhs_vb","Joint QDESN RHS",0.404232043917524,0.402484421774283,FALSE,"pass","pass",0.0954527729468253,0.12616848716836,0,0
"gaussian_mixture_bridge__qdesn_rhs_independent_vb","gaussian_mixture_bridge","qdesn_rhs_independent_vb","Independent QDESN RHS",0.404304034145092,0.402098289254352,FALSE,"pass","review",0.0982213204327218,0.130662612392557,0,0
"laplace_bridge__exqdesn_rhs_independent_vb","laplace_bridge","exqdesn_rhs_independent_vb","Independent exQDESN RHS",0.312487731883497,0.309195292908492,TRUE,"pass","review",0.104779932358606,0.143628938150001,0,0
"laplace_bridge__joint_exqdesn_rhs_vb","laplace_bridge","joint_exqdesn_rhs_vb","Joint exQDESN RHS",0.311618404219494,0.309806799769658,FALSE,"review","review",0.110741932592584,0.146620019881924,0,0
"laplace_bridge__joint_qdesn_rhs_vb","laplace_bridge","joint_qdesn_rhs_vb","Joint QDESN RHS",0.312596897408109,0.310994874465884,FALSE,"review","pass",0.0853738966542949,0.11733377017008,0,0
"laplace_bridge__qdesn_rhs_independent_vb","laplace_bridge","qdesn_rhs_independent_vb","Independent QDESN RHS",0.31295316547628,0.311077705372125,FALSE,"pass","review",0.0939477296561149,0.132868045567615,10,0
"nonlinear_reservoir_friendly__exqdesn_rhs_independent_vb","nonlinear_reservoir_friendly","exqdesn_rhs_independent_vb","Independent exQDESN RHS",0.435048400256246,0.431374010993476,FALSE,"pass","review",0.148996044311396,0.194334107133749,0,0
"nonlinear_reservoir_friendly__joint_exqdesn_rhs_vb","nonlinear_reservoir_friendly","joint_exqdesn_rhs_vb","Joint exQDESN RHS",0.432750301669401,0.430537350284864,TRUE,"pass","review",0.154981822387397,0.200416865858286,0,0
"nonlinear_reservoir_friendly__joint_qdesn_rhs_vb","nonlinear_reservoir_friendly","joint_qdesn_rhs_vb","Joint QDESN RHS",0.430246423715624,0.428254006428088,FALSE,"pass","pass",0.103679636345614,0.140692603103542,0,0
"nonlinear_reservoir_friendly__qdesn_rhs_independent_vb","nonlinear_reservoir_friendly","qdesn_rhs_independent_vb","Independent QDESN RHS",0.433229816408607,0.43038201725432,FALSE,"pass","pass",0.115741810781467,0.153105814333722,1,0
"normal_bridge__exqdesn_rhs_independent_vb","normal_bridge","exqdesn_rhs_independent_vb","Independent exQDESN RHS",0.311642878737117,0.308651299008685,TRUE,"pass","review",0.0995087478061775,0.116681008840607,0,0
"normal_bridge__joint_exqdesn_rhs_vb","normal_bridge","joint_exqdesn_rhs_vb","Joint exQDESN RHS",0.311599133494192,0.309237426204181,TRUE,"review","review",0.114001274840221,0.133463357477308,0,0
"normal_bridge__joint_qdesn_rhs_vb","normal_bridge","joint_qdesn_rhs_vb","Joint QDESN RHS",0.309669242129221,0.307822781314685,TRUE,"review","pass",0.0832186905773303,0.109636086039017,0,0
