"fit_id","model_id","model_family","quantile_level","method","likelihood_family","coefficient_prior","n_draws","n_theta","n_beta","n_alpha","finite_theta","finite_sigma","beta_norm_mean","beta_norm_sd","alpha_norm_mean","alpha_norm_sd","sigma_Y_mean","sigma_G_mean","sigma_Y_sd","sigma_G_sd","theta_ess_min","theta_ess_median","sigma_ess_min","sigma_ess_median","max_abs_theta","vb_converged","vb_iterations","vb_runtime_seconds","vb_elbo_final","vb_elbo_relative_change","vb_max_parameter_change","application_model_contract","n_future_dates","latent_path_objective_type","future_moment_strategy","future_update_strategy","future_objective_strategy","vb_chunking_enabled","vb_chunking_mode","vb_chunk_size","vb_iteration_timing_rows","vb_stage_timing_rows","vb_substep_timing_rows","vb_draw_backend_requested","vb_theta_draw_backend","vb_future_draw_backend","source_run_id"
"qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025_p05","qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025","qdesn_glofas_discrepancy",0.05,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,1.59247776206516,0.00680228412218583,1.51605827111804,0.0100791669083615,0.014865479884764,0.0129900614956182,0.000108567316744095,8.9202924088904e-05,,,,,0.567084066492203,FALSE,150,,16573.6982793666,,0.0120635657050372,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1057,9,0,"chol_eigen_fallback","chol","chol","glofas_stage_e_tail_gate_20260623_d_alpha_025_p05"
"qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025_p15","qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025","qdesn_glofas_discrepancy",0.15,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,1.81411693458422,0.0102169580561539,1.70183507597249,0.0147875971499397,0.0411227728550361,0.032511613908995,0.000300332659325989,0.000223257682691503,,,,,0.593009541902061,FALSE,150,,3707.58991557415,,0.27863843029417,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1057,9,0,"chol_eigen_fallback","chol","chol","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_p15"
"qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025_p35","qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025","qdesn_glofas_discrepancy",0.35,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,2.11744377614371,0.0133829849826952,1.72398605521669,0.0178230976105966,0.0818375530829019,0.0549739887439473,0.000597685619030667,0.000377507107756554,,,,,0.619672397849124,FALSE,150,,-4297.63371376814,,0.10153877432321,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1057,9,0,"chol_eigen_fallback","chol","chol","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_p35"
"qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025_p50","qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025","qdesn_glofas_discrepancy",0.5,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,2.34120022184967,0.0147170812031199,1.74402127261901,0.0185834915183809,0.100602251442968,0.0603532528035161,0.000734730165608183,0.000414446585196422,,,,,0.613287422666428,FALSE,150,,-6255.24800866603,,0.0410256193357073,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1057,9,0,"chol_eigen_fallback","chol","chol","glofas_stage_d_local_refinement_20260623_d_alpha_025_p50"
"qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025_p65","qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025","qdesn_glofas_discrepancy",0.65,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,2.63345635416107,0.0160087103227502,1.81439451397956,0.0187865031004593,0.107701787567389,0.0559290347035337,0.000786580330764716,0.000384065420991879,,,,,0.671432321452483,FALSE,150,,-6166.5725738471,,0.00481083064207679,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1057,9,0,"chol_eigen_fallback","chol","chol","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_p65"
"qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025_p80","qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025","qdesn_glofas_discrepancy",0.8,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,2.98730438754699,0.0168636237974953,2.05895572041158,0.0178777871623854,0.0964203427102393,0.0413178569426283,0.000704188359120902,0.00028373027006937,,,,,0.84374213619688,TRUE,145,,-3381.35370393543,,0.000998565727908463,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1022,9,0,"chol_eigen_fallback","chol","chol","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_p80"
"qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025_p95","qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025","qdesn_glofas_discrepancy",0.95,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,3.56440981029969,0.0132398767413212,2.66015991409858,0.013019524569995,0.0463662575826855,0.0138404694594215,0.000338627492165728,9.50426868233094e-05,,,,,1.26974465944959,FALSE,150,,8837.96006813401,,0.00501832611196249,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1057,9,0,"chol_eigen_fallback","chol","chol","glofas_stage_e_tail_gate_20260623_d_alpha_025_p95"
