"candidate_id","window","estimate_mode","date_min","date_max","n_dates","n_quantiles","mean_pinball_loss","crps_quantile_grid_mean","interval_coverage","interval_width","interval_score","median_log1p_mae","median_log1p_rmse","crossing_date_fraction","crossing_pair_count","max_crossing_magnitude","mean_abs_isotonic_adjustment","max_abs_isotonic_adjustment"
"fr09_persistence_innovation","all","independent","1988-10-10","2022-12-25",12495,7,0.0223079454075275,0.0445160032232627,0.902841136454582,0.275209472300648,0.444054704865978,0.0624424466662982,0.210283948996086,0.101000400160064,1665,0.060391436238334,5.92073592022681e-05,0.0439381929964665
"fr09_persistence_innovation","all","isotonic","1988-10-10","2022-12-25",12495,7,0.0222943740221996,0.044499586502209,0.906042416966787,0.275335921221719,0.442421407619293,0.0624400912464597,0.210285052744284,0.101000400160064,1665,0.060391436238334,5.92073592022681e-05,0.0439381929964665
"fr09_persistence_innovation","last1000","independent","2020-03-31","2022-12-25",1000,7,0.0137233012486858,0.0272411794036078,0.935,0.197964190103484,0.289471089101331,0.0388437273850094,0.162848035475137,0.123,158,0.0169277351843761,5.2059678873666e-05,0.0168825774610776
"fr09_persistence_innovation","last1000","isotonic","2020-03-31","2022-12-25",1000,7,0.0137063731471662,0.0272163949572923,0.943,0.198087679281446,0.287961532535235,0.0388343684388574,0.162848180336562,0.123,158,0.0169277351843761,5.2059678873666e-05,0.0168825774610776
"fr09_persistence_innovation","last500","independent","2021-08-13","2022-12-25",500,7,0.0192379737981586,0.0382480276417055,0.928,0.245403987347518,0.399391075066154,0.0548396481561158,0.21087674087598,0.122,75,0.0169277351843761,4.99422569555396e-05,0.0168825774610776
"fr09_persistence_innovation","last500","isotonic","2021-08-13","2022-12-25",500,7,0.019221785930509,0.0382249488834406,0.934,0.245519201931899,0.397856701460714,0.054841407188433,0.210877117033521,0.122,75,0.0169277351843761,4.99422569555396e-05,0.0168825774610776
"fr09_persistence_innovation","last200","independent","2022-06-09","2022-12-25",200,7,0.0198705015169104,0.0391981853822856,0.93,0.192926865966864,0.451285724198171,0.05360828353558,0.221850471089388,0.15,36,0.00925938890227596,5.20436490033794e-05,0.00929740912682853
"fr09_persistence_innovation","last200","isotonic","2022-06-09","2022-12-25",200,7,0.019862425987135,0.0391920083305439,0.94,0.193051694227196,0.449928290426879,0.0536398745531206,0.221851430492977,0.15,36,0.00925938890227596,5.20436490033794e-05,0.00929740912682853
"fr09_persistence_innovation","last100","independent","2022-09-17","2022-12-25",100,7,0.0381468520208557,0.0752418307576568,0.89,0.352665808461565,0.867583365583616,0.102849440998467,0.313690552119199,0.27,33,0.00925938890227596,0.000100362589005049,0.00929740912682853
"fr09_persistence_innovation","last100","isotonic","2022-09-17","2022-12-25",100,7,0.0381309202264048,0.0752300212341885,0.91,0.35290705265168,0.864860085710483,0.102912623033548,0.313691909151705,0.27,33,0.00925938890227596,0.000100362589005049,0.00929740912682853
"fr09_persistence_innovation","last50","independent","2022-11-06","2022-12-25",50,7,0.0669837670411481,0.13165963549268,0.84,0.569947421574856,1.58076038094007,0.178787719773148,0.434896494593407,0.1,6,0.004362717446661,3.63028612031074e-05,0.00218135872333053
"fr09_persistence_innovation","last50","isotonic","2022-11-06","2022-12-25",50,7,0.0669794129798175,0.131662915603261,0.86,0.570068413022618,1.57951801700259,0.178781651206699,0.434895820785959,0.1,6,0.004362717446661,3.63028612031074e-05,0.00218135872333053
