"quantile_id","quantile_level","run_id","run_dir","raw_fit_id","qdesn_fit_id","enabled","raw_synthesis_model_id","qdesn_synthesis_model_id"
"p05",0.05,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05","/data/jaguir26/local/src/Article-Q-DESN---Version-2__wt__glofas_fit_recovery_20260730/local_trackers/runtime_configs/glofas_fit_recovery_transition_full7_20260808/runs/glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05","raw_glofas_transition_full7_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",TRUE,"raw_glofas_fr09_authoritative","qdesn_glofas_discrepancy_fr09_authoritative"
"p15",0.15,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p15","/data/jaguir26/local/src/Article-Q-DESN---Version-2__wt__glofas_fit_recovery_20260730/local_trackers/runtime_configs/glofas_fit_recovery_transition_full7_20260808/runs/glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p15","raw_glofas_transition_full7_p15","qdesn_transition_full7_fr09_persistence_innovation_p15",TRUE,"raw_glofas_fr09_authoritative","qdesn_glofas_discrepancy_fr09_authoritative"
"p35",0.35,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p35","/data/jaguir26/local/src/Article-Q-DESN---Version-2__wt__glofas_fit_recovery_20260730/local_trackers/runtime_configs/glofas_fit_recovery_transition_full7_20260808/runs/glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p35","raw_glofas_transition_full7_p35","qdesn_transition_full7_fr09_persistence_innovation_p35",TRUE,"raw_glofas_fr09_authoritative","qdesn_glofas_discrepancy_fr09_authoritative"
"p50",0.5,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p50","/data/jaguir26/local/src/Article-Q-DESN---Version-2__wt__glofas_fit_recovery_20260730/local_trackers/runtime_configs/glofas_fit_recovery_transition_full7_20260808/runs/glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p50","raw_glofas_transition_full7_p50","qdesn_transition_full7_fr09_persistence_innovation_p50",TRUE,"raw_glofas_fr09_authoritative","qdesn_glofas_discrepancy_fr09_authoritative"
"p65",0.65,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p65","/data/jaguir26/local/src/Article-Q-DESN---Version-2__wt__glofas_fit_recovery_20260730/local_trackers/runtime_configs/glofas_fit_recovery_transition_full7_20260808/runs/glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p65","raw_glofas_transition_full7_p65","qdesn_transition_full7_fr09_persistence_innovation_p65",TRUE,"raw_glofas_fr09_authoritative","qdesn_glofas_discrepancy_fr09_authoritative"
"p80",0.8,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p80","/data/jaguir26/local/src/Article-Q-DESN---Version-2__wt__glofas_fit_recovery_20260730/local_trackers/runtime_configs/glofas_fit_recovery_transition_full7_20260808/runs/glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p80","raw_glofas_transition_full7_p80","qdesn_transition_full7_fr09_persistence_innovation_p80",TRUE,"raw_glofas_fr09_authoritative","qdesn_glofas_discrepancy_fr09_authoritative"
"p95",0.95,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p95","/data/jaguir26/local/src/Article-Q-DESN---Version-2__wt__glofas_fit_recovery_20260730/local_trackers/runtime_configs/glofas_fit_recovery_transition_full7_20260808/runs/glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p95","raw_glofas_transition_full7_p95","qdesn_transition_full7_fr09_persistence_innovation_p95",TRUE,"raw_glofas_fr09_authoritative","qdesn_glofas_discrepancy_fr09_authoritative"
