"candidate_id","window","estimate_mode","quantile_id","quantile_level","n","check_loss_mean"
"fr09_persistence_innovation","all","independent","p05",0.05,12495,0.00664179330124414
"fr09_persistence_innovation","all","independent","p15",0.15,12495,0.0155427030594712
"fr09_persistence_innovation","all","independent","p35",0.35,12495,0.0266363563802384
"fr09_persistence_innovation","all","independent","p50",0.5,12495,0.0312212233331491
"fr09_persistence_innovation","all","independent","p65",0.65,12495,0.0322340288879648
"fr09_persistence_innovation","all","independent","p80",0.8,12495,0.0283185709485703
"fr09_persistence_innovation","all","independent","p95",0.95,12495,0.0155609419420548
"fr09_persistence_innovation","all","isotonic","p05",0.05,12495,0.00664062759529162
"fr09_persistence_innovation","all","isotonic","p15",0.15,12495,0.0155413820463683
"fr09_persistence_innovation","all","isotonic","p35",0.35,12495,0.0266318598499832
"fr09_persistence_innovation","all","isotonic","p50",0.5,12495,0.0312200456232298
"fr09_persistence_innovation","all","isotonic","p65",0.65,12495,0.0322431563136289
"fr09_persistence_innovation","all","isotonic","p80",0.8,12495,0.0283031039412223
"fr09_persistence_innovation","all","isotonic","p95",0.95,12495,0.015480442785673
"fr09_persistence_innovation","last1000","independent","p05",0.05,1000,0.00409710405811313
"fr09_persistence_innovation","last1000","independent","p15",0.15,1000,0.00916608571678217
"fr09_persistence_innovation","last1000","independent","p35",0.35,1000,0.0159627030506636
"fr09_persistence_innovation","last1000","independent","p50",0.5,1000,0.0194218636925047
"fr09_persistence_innovation","last1000","independent","p65",0.65,1000,0.0199329791492925
"fr09_persistence_innovation","last1000","independent","p80",0.8,1000,0.0171059226764914
"fr09_persistence_innovation","last1000","independent","p95",0.95,1000,0.0103764503969534
"fr09_persistence_innovation","last1000","isotonic","p05",0.05,1000,0.00409379706208236
"fr09_persistence_innovation","last1000","isotonic","p15",0.15,1000,0.00916283789744366
"fr09_persistence_innovation","last1000","isotonic","p35",0.35,1000,0.0159482539072338
"fr09_persistence_innovation","last1000","isotonic","p50",0.5,1000,0.0194171842194287
"fr09_persistence_innovation","last1000","isotonic","p65",0.65,1000,0.019926087401063
"fr09_persistence_innovation","last1000","isotonic","p80",0.8,1000,0.0170921719782323
"fr09_persistence_innovation","last1000","isotonic","p95",0.95,1000,0.0103042795646794
"fr09_persistence_innovation","last500","independent","p05",0.05,500,0.00557012675124518
