"candidate_id","target_date","cutoff_date","y_log1p","qhat_log1p","raw_log1p","quantile_id","quantile_level","qhat_independent","qhat_isotonic","isotonic_abs_adjustment"
"fr09_persistence_innovation",2022-10-27,2022-12-25,0.290406214510221,0.284973390335727,9.99999995e-09,"p05",0.05,0.284973390335727,0.284973390335727,0
"fr09_persistence_innovation",2022-10-27,2022-12-25,0.290406214510221,0.288019122876478,9.99999995e-09,"p15",0.15,0.288019122876478,0.288019122876478,0
"fr09_persistence_innovation",2022-10-27,2022-12-25,0.290406214510221,0.290832247186169,9.99999995e-09,"p35",0.35,0.290832247186169,0.290832247186169,5.55111512312578e-17
"fr09_persistence_innovation",2022-10-27,2022-12-25,0.290406214510221,0.290852789018188,9.99999995e-09,"p50",0.5,0.290852789018188,0.290852789018188,0
"fr09_persistence_innovation",2022-10-27,2022-12-25,0.290406214510221,0.292636400396452,9.99999995e-09,"p65",0.65,0.292636400396452,0.292636400396452,1.11022302462516e-16
"fr09_persistence_innovation",2022-10-27,2022-12-25,0.290406214510221,0.294141865772834,9.99999995e-09,"p80",0.8,0.294141865772834,0.294141865772834,5.55111512312578e-17
"fr09_persistence_innovation",2022-10-27,2022-12-25,0.290406214510221,0.306765241745865,9.99999995e-09,"p95",0.95,0.306765241745865,0.306765241745865,5.55111512312578e-17
"fr09_persistence_innovation",2022-10-28,2022-12-25,0.290406214510221,0.283041707879276,9.99999995e-09,"p05",0.05,0.283041707879276,0.283041707879276,0
"fr09_persistence_innovation",2022-10-28,2022-12-25,0.290406214510221,0.287870936341883,9.99999995e-09,"p15",0.15,0.287870936341883,0.287870936341883,5.55111512312578e-17
"fr09_persistence_innovation",2022-10-28,2022-12-25,0.290406214510221,0.291422132844866,9.99999995e-09,"p35",0.35,0.291422132844866,0.291422132844866,5.55111512312578e-17
"fr09_persistence_innovation",2022-10-28,2022-12-25,0.290406214510221,0.291910082690809,9.99999995e-09,"p50",0.5,0.291910082690809,0.291910082690809,0
"fr09_persistence_innovation",2022-10-28,2022-12-25,0.290406214510221,0.292895451327655,9.99999995e-09,"p65",0.65,0.292895451327655,0.292895451327655,5.55111512312578e-17
"fr09_persistence_innovation",2022-10-28,2022-12-25,0.290406214510221,0.294374624756537,9.99999995e-09,"p80",0.8,0.294374624756537,0.294374624756537,1.11022302462516e-16
"fr09_persistence_innovation",2022-10-28,2022-12-25,0.290406214510221,0.308265560198709,9.99999995e-09,"p95",0.95,0.308265560198709,0.308265560198709,2.22044604925031e-16
"fr09_persistence_innovation",2022-10-29,2022-12-25,0.290406214510221,0.281713064941048,9.99999995e-09,"p05",0.05,0.281713064941048,0.281713064941048,0
"fr09_persistence_innovation",2022-10-29,2022-12-25,0.290406214510221,0.288001229558426,9.99999995e-09,"p15",0.15,0.288001229558426,0.288001229558426,0
"fr09_persistence_innovation",2022-10-29,2022-12-25,0.290406214510221,0.291323049865898,9.99999995e-09,"p35",0.35,0.291323049865898,0.291323049865898,5.55111512312578e-17
"fr09_persistence_innovation",2022-10-29,2022-12-25,0.290406214510221,0.292025109642365,9.99999995e-09,"p50",0.5,0.292025109642365,0.292025109642365,5.55111512312578e-17
"fr09_persistence_innovation",2022-10-29,2022-12-25,0.290406214510221,0.293087977481261,9.99999995e-09,"p65",0.65,0.293087977481261,0.293087977481261,5.55111512312578e-17
"fr09_persistence_innovation",2022-10-29,2022-12-25,0.290406214510221,0.294803645138955,9.99999995e-09,"p80",0.8,0.294803645138955,0.294803645138955,5.55111512312578e-17
