"mcmc_case_id","case_id","scenario_id","base_scenario_id","source_model_id","model_id","display_label","likelihood_family","fit_structure","window","rows","oracle_quantile_mae","oracle_quantile_rmse","oracle_quantile_bias"
"asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail","asymmetric_laplace_tail","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,0.147571247888503,0.204102885276,-0.0159345596160042
"asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail","asymmetric_laplace_tail","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,1.63880073520599,2.15997786107475,-1.61154118914429
"asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail","asymmetric_laplace_tail","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,0.136088743396304,0.196430224079918,-0.0142679285052956
"asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail","asymmetric_laplace_tail","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,0.413959494384608,0.655602471717426,-0.322713742359781
"asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail","asymmetric_laplace_tail","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0.121851628972115,0.164580284645983,-0.0621636015418482
"asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail","asymmetric_laplace_tail","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0.858120651970741,1.09137075027549,-0.839879770554601
"asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail","asymmetric_laplace_tail","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0.0966460633471672,0.144163769701418,-0.0605689916098892
"asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail","asymmetric_laplace_tail","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0.142999436846795,0.235932281408461,-0.0721510592833115
"gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge","gaussian_mixture_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,0.153553538334589,0.198516872817172,0.0085333863411805
"gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge","gaussian_mixture_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,0.808124885898685,1.04066419080114,-0.759403576291034
"gaussian_mixture_bridge__qdesn_rhs_independent","gaussian_mixture_bridge__qdesn_rhs_independent","gaussian_mixture_bridge","gaussian_mixture_bridge","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,0.125665593112007,0.168554760325999,0.00873756471036359
"gaussian_mixture_bridge__qdesn_rhs_independent","gaussian_mixture_bridge__qdesn_rhs_independent","gaussian_mixture_bridge","gaussian_mixture_bridge","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,0.20491638591436,0.286478957100832,-0.0791975664897298
"gaussian_mixture_bridge__joint_exqdesn_rhs","gaussian_mixture_bridge__joint_exqdesn_rhs","gaussian_mixture_bridge","gaussian_mixture_bridge","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0.117815873827762,0.14803896713592,0.00522903173659011
"gaussian_mixture_bridge__joint_exqdesn_rhs","gaussian_mixture_bridge__joint_exqdesn_rhs","gaussian_mixture_bridge","gaussian_mixture_bridge","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0.280189227600971,0.36673246779691,-0.215542738429066
