"candidate_id","target_date","n_quantiles","n_adjacent_crossings","max_crossing_magnitude","mean_abs_isotonic_adjustment","max_abs_isotonic_adjustment"
"fr09_persistence_innovation","1988-10-10",7,0,0,1.98254111540207e-17,5.55111512312578e-17
"fr09_persistence_innovation","1988-10-11",7,0,0,3.1720657846433e-17,8.32667268468867e-17
"fr09_persistence_innovation","1988-10-12",7,0,0,4.75809867696496e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-10-13",7,1,5.72854462702055e-06,8.18363518165618e-07,2.86427231352415e-06
"fr09_persistence_innovation","1988-10-14",7,0,0,5.55111512312578e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-10-15",7,0,0,3.96508223080413e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-10-16",7,0,0,2.77555756156289e-17,8.32667268468867e-17
"fr09_persistence_innovation","1988-10-17",7,0,0,3.1720657846433e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-10-18",7,2,0.000526962189890984,0.000141854044132873,0.000496489154464985
"fr09_persistence_innovation","1988-10-19",7,0,0,3.1720657846433e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-10-20",7,0,0,5.55111512312578e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-10-21",7,0,0,3.1720657846433e-17,5.55111512312578e-17
"fr09_persistence_innovation","1988-10-22",7,0,0,4.36159045388454e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-10-23",7,0,0,2.37904933848248e-17,8.32667268468867e-17
"fr09_persistence_innovation","1988-10-24",7,1,0.000168865733362999,2.4123676194742e-05,8.44328666814997e-05
"fr09_persistence_innovation","1988-10-25",7,0,0,2.77555756156289e-17,8.32667268468867e-17
"fr09_persistence_innovation","1988-10-26",7,0,0,3.56857400772372e-17,8.32667268468867e-17
"fr09_persistence_innovation","1988-10-27",7,0,0,5.55111512312578e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-10-28",7,0,0,4.75809867696496e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-10-29",7,0,0,3.96508223080413e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-10-30",7,0,0,3.96508223080413e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-10-31",7,1,7.73517972499915e-05,1.10502567500384e-05,3.86758986250513e-05
"fr09_persistence_innovation","1988-11-01",7,0,0,4.75809867696496e-17,2.22044604925031e-16
"fr09_persistence_innovation","1988-11-02",7,0,0,3.96508223080413e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-11-03",7,0,0,3.56857400772372e-17,5.55111512312578e-17
"fr09_persistence_innovation","1988-11-04",7,0,0,4.36159045388454e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-11-05",7,0,0,4.75809867696496e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-11-06",7,0,0,3.56857400772372e-17,5.55111512312578e-17
"fr09_persistence_innovation","1988-11-07",7,0,0,3.1720657846433e-17,5.55111512312578e-17
"fr09_persistence_innovation","1988-11-08",7,0,0,3.1720657846433e-17,5.55111512312578e-17
"fr09_persistence_innovation","1988-11-09",7,0,0,2.77555756156289e-17,5.55111512312578e-17
"fr09_persistence_innovation","1988-11-10",7,0,0,7.93016446160826e-18,5.55111512312578e-17
"fr09_persistence_innovation","1988-11-11",7,0,0,4.75809867696496e-17,2.22044604925031e-16
"fr09_persistence_innovation","1988-11-12",7,0,0,2.77555756156289e-17,5.55111512312578e-17
"fr09_persistence_innovation","1988-11-13",7,0,0,6.34413156928661e-17,2.22044604925031e-16
"fr09_persistence_innovation","1988-11-14",7,0,0,7.93016446160826e-17,2.22044604925031e-16
"fr09_persistence_innovation","1988-11-15",7,0,0,2.37904933848248e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-11-16",7,0,0,7.93016446160826e-17,2.22044604925031e-16
"fr09_persistence_innovation","1988-11-17",7,0,0,1.58603289232165e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-11-18",7,1,0.00589535471965602,0.000842193531379463,0.00294767735982809
"fr09_persistence_innovation","1988-11-19",7,0,0,3.96508223080413e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-11-20",7,0,0,1.58603289232165e-17,5.55111512312578e-17
"fr09_persistence_innovation","1988-11-21",7,0,0,4.75809867696496e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-11-22",7,0,0,7.93016446160826e-17,2.22044604925031e-16
"fr09_persistence_innovation","1988-11-23",7,0,0,1.42742960308949e-16,4.44089209850063e-16
"fr09_persistence_innovation","1988-11-24",7,0,0,1.42742960308949e-16,4.44089209850063e-16
"fr09_persistence_innovation","1988-11-25",7,0,0,9.51619735392991e-17,2.22044604925031e-16
"fr09_persistence_innovation","1988-11-26",7,0,0,5.55111512312578e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-11-27",7,0,0,4.75809867696496e-17,2.22044604925031e-16
"fr09_persistence_innovation","1988-11-28",7,0,0,6.34413156928661e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-11-29",7,0,0,5.55111512312578e-17,2.22044604925031e-16
"fr09_persistence_innovation","1988-11-30",7,0,0,3.96508223080413e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-12-01",7,0,0,3.1720657846433e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-12-02",7,0,0,5.55111512312578e-17,2.22044604925031e-16
"fr09_persistence_innovation","1988-12-03",7,0,0,7.93016446160826e-17,2.22044604925031e-16
"fr09_persistence_innovation","1988-12-04",7,0,0,5.55111512312578e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-12-05",7,0,0,3.96508223080413e-17,1.11022302462516e-16
"fr09_persistence_innovation","1988-12-06",7,0,0,3.1720657846433e-17,1.11022302462516e-16
