"model_id","diagnostic","n_crossing_pairs","max_crossing_magnitude"
"qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025","after_isotonic",0,0
"qdesn_latent_path_rhs_al_vb_glofas_stage_d_local_refinement_20260623_d_alpha_025","before_isotonic",0,0
"raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025","after_isotonic",0,0
"raw_glofas_glofas_stage_d_local_refinement_20260623_d_alpha_025","before_isotonic",0,0
