"model_label","nominal","interval_score","covered"
"Q-DESN",0.3,3.42900669593993,0.0357142857142857
"Raw GloFAS",0.3,4.90803719431531,0
"Q-DESN",0.65,5.34416743514364,0.178571428571429
"Raw GloFAS",0.65,9.05055786883865,0
"Q-DESN",0.9,6.21719363270967,0.678571428571429
"Raw GloFAS",0.9,25.2027636659504,0
