"model_id","origin_date","target_date","horizon","diagnostic","n_quantiles","n_adjacent_pairs","n_crossing_pairs","max_crossing_magnitude"
"raw_glofas_fr09_authoritative",2022-12-25,2022-12-26,1,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2022-12-27,2,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2022-12-28,3,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2022-12-29,4,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2022-12-30,5,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2022-12-31,6,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-01,7,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-02,8,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-03,9,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-04,10,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-05,11,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-06,12,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-07,13,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-08,14,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-09,15,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-10,16,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-11,17,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-12,18,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-13,19,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-14,20,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-15,21,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-16,22,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-17,23,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-18,24,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-19,25,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-20,26,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-21,27,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-22,28,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2022-12-26,1,"before_isotonic",7,6,3,0.052547222162964
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2022-12-27,2,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2022-12-28,3,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2022-12-29,4,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2022-12-30,5,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2022-12-31,6,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-01,7,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-02,8,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-03,9,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-04,10,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-05,11,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-06,12,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-07,13,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-08,14,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-09,15,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-10,16,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-11,17,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-12,18,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-13,19,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-14,20,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-15,21,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-16,22,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-17,23,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-18,24,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-19,25,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-20,26,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-21,27,"before_isotonic",7,6,0,0
"qdesn_glofas_discrepancy_fr09_authoritative",2022-12-25,2023-01-22,28,"before_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2022-12-26,1,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2022-12-27,2,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2022-12-28,3,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2022-12-29,4,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2022-12-30,5,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2022-12-31,6,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-01,7,"after_isotonic",7,6,0,0
"raw_glofas_fr09_authoritative",2022-12-25,2023-01-02,8,"after_isotonic",7,6,0,0
