"date","quantile_level","qdesn","phase","cutoff_date"
2022-10-27,0.05,0.284973390335727,"Fitted history",2022-12-25
2022-10-28,0.05,0.283041707879276,"Fitted history",2022-12-25
2022-10-29,0.05,0.281713064941048,"Fitted history",2022-12-25
2022-10-30,0.05,0.282210186334226,"Fitted history",2022-12-25
2022-10-31,0.05,0.283948727223991,"Fitted history",2022-12-25
2022-11-01,0.05,0.287424299853567,"Fitted history",2022-12-25
2022-11-02,0.05,0.397606642079488,"Fitted history",2022-12-25
2022-11-03,0.05,0.249844591619415,"Fitted history",2022-12-25
2022-11-04,0.05,0.278488469579093,"Fitted history",2022-12-25
2022-11-05,0.05,0.295329193422948,"Fitted history",2022-12-25
2022-11-06,0.05,0.302620419331719,"Fitted history",2022-12-25
2022-11-07,0.05,0.307842595814601,"Fitted history",2022-12-25
2022-11-08,0.05,0.395641542443886,"Fitted history",2022-12-25
2022-11-09,0.05,0.9180395964965,"Fitted history",2022-12-25
2022-11-10,0.05,0.371266869309412,"Fitted history",2022-12-25
2022-11-11,0.05,0.304188560071032,"Fitted history",2022-12-25
2022-11-12,0.05,0.280562500085099,"Fitted history",2022-12-25
2022-11-13,0.05,0.270767296687817,"Fitted history",2022-12-25
2022-11-14,0.05,0.286125134071107,"Fitted history",2022-12-25
2022-11-15,0.05,0.295838886838338,"Fitted history",2022-12-25
2022-11-16,0.05,0.31972240112146,"Fitted history",2022-12-25
2022-11-17,0.05,0.322246316838821,"Fitted history",2022-12-25
2022-11-18,0.05,0.328625584445607,"Fitted history",2022-12-25
2022-11-19,0.05,0.334204141904647,"Fitted history",2022-12-25
2022-11-20,0.05,0.326056448591399,"Fitted history",2022-12-25
2022-11-21,0.05,0.33261034666783,"Fitted history",2022-12-25
2022-11-22,0.05,0.333936486451284,"Fitted history",2022-12-25
2022-11-23,0.05,0.336577278602687,"Fitted history",2022-12-25
2022-11-24,0.05,0.340184700994332,"Fitted history",2022-12-25
2022-11-25,0.05,0.340638660431387,"Fitted history",2022-12-25
2022-11-26,0.05,0.336186078859967,"Fitted history",2022-12-25
2022-11-27,0.05,0.332078743358459,"Fitted history",2022-12-25
2022-11-28,0.05,0.332396080972866,"Fitted history",2022-12-25
2022-11-29,0.05,0.328241652535183,"Fitted history",2022-12-25
2022-11-30,0.05,0.325918959541698,"Fitted history",2022-12-25
2022-12-01,0.05,0.337862796195808,"Fitted history",2022-12-25
2022-12-02,0.05,1.19152570012336,"Fitted history",2022-12-25
2022-12-03,0.05,0.437874042118134,"Fitted history",2022-12-25
2022-12-04,0.05,0.922647948987956,"Fitted history",2022-12-25
2022-12-05,0.05,0.672085051682651,"Fitted history",2022-12-25
2022-12-06,0.05,0.647582433079816,"Fitted history",2022-12-25
2022-12-07,0.05,0.737801955195846,"Fitted history",2022-12-25
2022-12-08,0.05,0.61045467881616,"Fitted history",2022-12-25
2022-12-09,0.05,0.583921429332189,"Fitted history",2022-12-25
2022-12-10,0.05,0.641630489582107,"Fitted history",2022-12-25
2022-12-11,0.05,2.39185714585712,"Fitted history",2022-12-25
2022-12-12,0.05,1.58954856000404,"Fitted history",2022-12-25
2022-12-13,0.05,1.46773645338137,"Fitted history",2022-12-25
2022-12-14,0.05,1.25549710037826,"Fitted history",2022-12-25
2022-12-15,0.05,1.03771172417676,"Fitted history",2022-12-25
2022-12-16,0.05,0.892859298193992,"Fitted history",2022-12-25
2022-12-17,0.05,0.820491856680096,"Fitted history",2022-12-25
2022-12-18,0.05,0.753413240370078,"Fitted history",2022-12-25
2022-12-19,0.05,0.733684152288431,"Fitted history",2022-12-25
2022-12-20,0.05,0.68325749674108,"Fitted history",2022-12-25
2022-12-21,0.05,0.646441996205583,"Fitted history",2022-12-25
2022-12-22,0.05,0.607315755662165,"Fitted history",2022-12-25
2022-12-23,0.05,0.583243728788496,"Fitted history",2022-12-25
2022-12-24,0.05,0.563420599856639,"Fitted history",2022-12-25
2022-12-25,0.05,0.542786011688573,"Fitted history",2022-12-25
2022-12-26,0.05,0.528441205312744,"Forecast",2022-12-25
2022-12-27,0.05,0.705311917979813,"Forecast",2022-12-25
2022-12-28,0.05,0.241945312933073,"Forecast",2022-12-25
2022-12-29,0.05,0.508737585107099,"Forecast",2022-12-25
2022-12-30,0.05,0.912466980749044,"Forecast",2022-12-25
2022-12-31,0.05,0.857895817529781,"Forecast",2022-12-25
2023-01-01,0.05,0.761971830887453,"Forecast",2022-12-25
2023-01-02,0.05,0.313952845410697,"Forecast",2022-12-25
2023-01-03,0.05,1.07121523648406,"Forecast",2022-12-25
2023-01-04,0.05,1.22119947569562,"Forecast",2022-12-25
2023-01-05,0.05,1.42482002439123,"Forecast",2022-12-25
2023-01-06,0.05,1.19352528956798,"Forecast",2022-12-25
2023-01-07,0.05,0.864542911278561,"Forecast",2022-12-25
2023-01-08,0.05,1.30461101393534,"Forecast",2022-12-25
2023-01-09,0.05,1.11930736475471,"Forecast",2022-12-25
2023-01-10,0.05,0.850629920803684,"Forecast",2022-12-25
2023-01-11,0.05,0.845927119796104,"Forecast",2022-12-25
2023-01-12,0.05,0.997656184232338,"Forecast",2022-12-25
2023-01-13,0.05,0.836931825696849,"Forecast",2022-12-25
2023-01-14,0.05,1.29317575324134,"Forecast",2022-12-25
2023-01-15,0.05,1.02922384585888,"Forecast",2022-12-25
2023-01-16,0.05,0.645918012230444,"Forecast",2022-12-25
2023-01-17,0.05,0.401957370211239,"Forecast",2022-12-25
2023-01-18,0.05,0.705554772483705,"Forecast",2022-12-25
2023-01-19,0.05,0.86700838048354,"Forecast",2022-12-25
2023-01-20,0.05,0.83436596906562,"Forecast",2022-12-25
2023-01-21,0.05,1.11823381852967,"Forecast",2022-12-25
2023-01-22,0.05,1.08419074424568,"Forecast",2022-12-25
2022-10-27,0.15,0.288019122876478,"Fitted history",2022-12-25
2022-10-28,0.15,0.287870936341883,"Fitted history",2022-12-25
2022-10-29,0.15,0.288001229558426,"Fitted history",2022-12-25
2022-10-30,0.15,0.289134383706279,"Fitted history",2022-12-25
2022-10-31,0.15,0.291647949048651,"Fitted history",2022-12-25
2022-11-01,0.15,0.296634125972243,"Fitted history",2022-12-25
2022-11-02,0.15,0.448254611453513,"Fitted history",2022-12-25
2022-11-03,0.15,0.267053809552884,"Fitted history",2022-12-25
2022-11-04,0.15,0.295813850800733,"Fitted history",2022-12-25
2022-11-05,0.15,0.317571133291884,"Fitted history",2022-12-25
2022-11-06,0.15,0.325897050692398,"Fitted history",2022-12-25
2022-11-07,0.15,0.34319745925713,"Fitted history",2022-12-25
2022-11-08,0.15,0.564283230161876,"Fitted history",2022-12-25
