"fit_id","model_id","model_family","quantile_level","inference_method","coefficient_prior","required","status","message","runtime_seconds","source_run_id"
"raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","raw_glofas",0.05,"none","none",TRUE,"completed","",0.306,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","qdesn_glofas_discrepancy",0.05,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",22906.511,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p05"
"raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p15","raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","raw_glofas",0.15,"none","none",TRUE,"completed","",0.31,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p15"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p15","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","qdesn_glofas_discrepancy",0.15,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",22839.821,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p15"
"raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p35","raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","raw_glofas",0.35,"none","none",TRUE,"completed","",0.309,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p35"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p35","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","qdesn_glofas_discrepancy",0.35,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",22241.82,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p35"
"raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p50","raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","raw_glofas",0.5,"none","none",TRUE,"completed","",0.333,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p50"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p50","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","qdesn_glofas_discrepancy",0.5,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",22393.062,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p50"
"raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p65","raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","raw_glofas",0.65,"none","none",TRUE,"completed","",0.31,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p65"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p65","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","qdesn_glofas_discrepancy",0.65,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",16287.397,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p65"
"raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p80","raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","raw_glofas",0.8,"none","none",TRUE,"completed","",0.309,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p80"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p80","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","qdesn_glofas_discrepancy",0.8,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",22063.282,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p80"
"raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p95","raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","raw_glofas",0.95,"none","none",TRUE,"completed","",0.659,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p95"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7_p95","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","qdesn_glofas_discrepancy",0.95,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",26108.243,"glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_p95"
