"quantile_id","quantile_level","fit_id","converged","iterations","final_parameter_change","final_elbo","beta_norm_mean","alpha_norm_mean","sigma_Y_mean","sigma_G_mean","max_abs_theta","fit_core_hours","fit_path"
"p05",0.05,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05",FALSE,250,0.00331631816386781,16560.2869149466,1.13574006070334,0.866436736777585,0.0151287016394966,0.012909094043082,0.676830085775882,5.96276694444444,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_deep_identity_d4w100m300a050_full7_20260618_p05/objects/qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05.rds"
"p15",0.15,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p15",FALSE,250,0.0317218088643602,3794.40257285306,1.26419742772284,0.883934760101763,0.0416492648678314,0.0320498940058573,0.710550838307817,5.94984222222222,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_deep_identity_d4w100m300a050_full7_20260618_p15/objects/qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p15.rds"
"p35",0.35,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p35",FALSE,250,0.0502627032653256,-4253.86944174297,1.43306041994037,0.916554158905714,0.0821790727818306,0.0550051055351498,0.780587373215692,5.94895388888889,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_deep_identity_d4w100m300a050_full7_20260618_p35/objects/qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p35.rds"
"p50",0.5,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p50",FALSE,250,0.0538541343437678,-6235.54386981374,1.56980635750102,0.989840682234365,0.101683466019658,0.0602629723953146,0.826618904484576,6.05805,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_deep_identity_d4w100m300a050_full7_20260618_p50/objects/qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p50.rds"
"p65",0.65,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p65",TRUE,152,0.000991368093604339,-6164.2186890165,1.72064087870385,1.06461303712266,0.108999914826437,0.055968454619936,0.900192741909603,3.618075,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_deep_identity_d4w100m300a050_full7_20260618_p65/objects/qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p65.rds"
"p80",0.8,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p80",FALSE,250,0.00255231647037768,-3458.55163563782,1.92707406883783,1.18193942087905,0.0983557181493746,0.0415969408399933,1.05618674220349,5.9564375,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_deep_identity_d4w100m300a050_full7_20260618_p80/objects/qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p80.rds"
"p95",0.95,"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p95",TRUE,235,0.000989343455450906,8539.59608167067,2.4238941136649,1.58894784655308,0.0483540181318346,0.0141259380536701,1.54084527497781,5.66594444444444,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_deep_identity_d4w100m300a050_full7_20260618_p95/objects/qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p95.rds"
