"model_label","nominal","interval_score","covered"
"Q-DESN",0.3,2.93983507749012,0.5
"Raw GloFAS",0.3,4.90803719431531,0
"Q-DESN",0.65,3.74496373284417,0.75
"Raw GloFAS",0.65,9.05055786883865,0
"Q-DESN",0.9,5.21832659595027,0.964285714285714
"Raw GloFAS",0.9,25.2027636659504,0
