"category","check","passed","detail"
"sources","all_required_source_runs_complete",TRUE,"glofas_calibration_broad_grid_20260619_arch04_a035_p05=TRUE; glofas_stage_c_full7_confirmations_20260622_arch04_a035_p15=TRUE; glofas_stage_c_full7_confirmations_20260622_arch04_a035_p35=TRUE; glofas_calibration_broad_grid_20260619_arch04_a035_p50=TRUE; glofas_stage_c_full7_confirmations_20260622_arch04_a035_p65=TRUE; glofas_stage_c_full7_confirmations_20260622_arch04_a035_p80=TRUE; glofas_calibration_broad_grid_20260619_arch04_a035_p95=TRUE"
"sources","all_target_quantiles_available",TRUE,"0.05, 0.15, 0.35, 0.5, 0.65, 0.8, 0.95"
"predictions","duplicate_prediction_keys_absent",TRUE,"key: model_id, origin_date, target_date, horizon, quantile_level"
"synthesis","post_synthesis_crossings_absent",TRUE,"crossing_pairs_after=0"
"metrics","score_summary_exists",TRUE,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/tables/score_summary.csv"
"figures","manuscript_figures_exist",TRUE,"/data/jaguir26/local/src/Article-Q-DESN/application/outputs/generated/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/figures/glofas_qdesn_discrepancy_corrected_quantile_paths.pdf; /data/jaguir26/local/src/Article-Q-DESN/application/outputs/generated/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/figures/glofas_qdesn_discrepancy_corrected_quantile_paths_independent.pdf; /data/jaguir26/local/src/Article-Q-DESN/application/outputs/generated/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/figures/glofas_qdesn_discrepancy_corrected_quantile_paths_monotone.pdf; /data/jaguir26/local/src/Article-Q-DESN/application/outputs/generated/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/figures/glofas_qdesn_discrepancy_draws_by_horizon.pdf; /data/jaguir26/local/src/Article-Q-DESN/application/outputs/generated/glofas_stage_c_full7_confirmations_20260622_arch04_a035_scorebalanced_synthesis_final/figures/glofas_qdesn_discrepancy_identity_reconciliation.pdf"
