"fit_id","model_id","model_family","quantile_level","inference_method","coefficient_prior","required","status","message","runtime_seconds","source_run_id"
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p05","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.05,"none","none",TRUE,"completed","",0.331,"glofas_calibration_broad_grid_20260619_arch04_a035_p05"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p05","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate","qdesn_glofas_discrepancy",0.05,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",15578.762,"glofas_calibration_broad_grid_20260619_arch04_a035_p05"
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p15","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.15,"none","none",TRUE,"completed","",0.273,"glofas_stage_c_full7_confirmations_20260622_arch04_a035_p15"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p15","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate","qdesn_glofas_discrepancy",0.15,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",13220.854,"glofas_stage_c_full7_confirmations_20260622_arch04_a035_p15"
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p35","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.35,"none","none",TRUE,"completed","",0.262,"glofas_stage_c_full7_confirmations_20260622_arch04_a035_p35"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p35","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate","qdesn_glofas_discrepancy",0.35,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",13018.142,"glofas_stage_c_full7_confirmations_20260622_arch04_a035_p35"
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p50","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.5,"none","none",TRUE,"completed","",0.294,"glofas_calibration_broad_grid_20260619_arch04_a035_p50"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p50","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate","qdesn_glofas_discrepancy",0.5,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",16552.783,"glofas_calibration_broad_grid_20260619_arch04_a035_p50"
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p65","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.65,"none","none",TRUE,"completed","",0.271,"glofas_stage_c_full7_confirmations_20260622_arch04_a035_p65"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p65","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate","qdesn_glofas_discrepancy",0.65,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",13362.146,"glofas_stage_c_full7_confirmations_20260622_arch04_a035_p65"
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p80","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.8,"none","none",TRUE,"completed","",0.267,"glofas_stage_c_full7_confirmations_20260622_arch04_a035_p80"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p80","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate","qdesn_glofas_discrepancy",0.8,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",13216.843,"glofas_stage_c_full7_confirmations_20260622_arch04_a035_p80"
"raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p95","raw_glofas_glofas_calibration_broad_grid_20260619_arch04_a035_gate","raw_glofas",0.95,"none","none",TRUE,"completed","",0.3,"glofas_calibration_broad_grid_20260619_arch04_a035_p95"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate_p95","qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_arch04_a035_gate","qdesn_glofas_discrepancy",0.95,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",16965.086,"glofas_calibration_broad_grid_20260619_arch04_a035_p95"
