"category","check","passed","detail"
"sources","all_required_source_runs_complete",TRUE,"glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05=TRUE; glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p15=TRUE; glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p35=TRUE; glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p50=TRUE; glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p65=TRUE; glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p80=TRUE; glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p95=TRUE"
"sources","all_target_quantiles_available",TRUE,"0.05, 0.15, 0.35, 0.5, 0.65, 0.8, 0.95"
"predictions","duplicate_prediction_keys_absent",TRUE,"key: model_id, origin_date, target_date, horizon, quantile_level"
"predictions","all_synthesis_models_have_complete_quantile_grid",TRUE,"qdesn_glofas_discrepancy_fr09_authoritative=0.05;0.15;0.35;0.50;0.65;0.80;0.95; raw_glofas_fr09_authoritative=0.05;0.15;0.35;0.50;0.65;0.80;0.95"
"synthesis","post_synthesis_crossings_absent",TRUE,"crossing_pairs_after=0"
"metrics","score_summary_exists",TRUE,"/data/jaguir26/local/src/Article-Q-DESN---Version-2/local_trackers/runtime_configs/glofas_fr09_authoritative_full7_20260811/runs/glofas_fr09_authoritative_full7_20260811_synthesis_contractfixed/tables/score_summary.csv"
"figures","manuscript_figures_exist",TRUE,"/data/jaguir26/local/src/Article-Q-DESN---Version-2/local_trackers/runtime_configs/glofas_fr09_authoritative_full7_20260811/generated/glofas_fr09_authoritative_full7_20260811_synthesis_contractfixed/figures/glofas_qdesn_discrepancy_corrected_quantile_paths.pdf; /data/jaguir26/local/src/Article-Q-DESN---Version-2/local_trackers/runtime_configs/glofas_fr09_authoritative_full7_20260811/generated/glofas_fr09_authoritative_full7_20260811_synthesis_contractfixed/figures/glofas_qdesn_discrepancy_corrected_quantile_paths_independent.pdf; /data/jaguir26/local/src/Article-Q-DESN---Version-2/local_trackers/runtime_configs/glofas_fr09_authoritative_full7_20260811/generated/glofas_fr09_authoritative_full7_20260811_synthesis_contractfixed/figures/glofas_qdesn_discrepancy_corrected_quantile_paths_monotone.pdf; /data/jaguir26/local/src/Article-Q-DESN---Version-2/local_trackers/runtime_configs/glofas_fr09_authoritative_full7_20260811/generated/glofas_fr09_authoritative_full7_20260811_synthesis_contractfixed/figures/glofas_qdesn_discrepancy_draws_by_horizon.pdf; /data/jaguir26/local/src/Article-Q-DESN---Version-2/local_trackers/runtime_configs/glofas_fr09_authoritative_full7_20260811/generated/glofas_fr09_authoritative_full7_20260811_synthesis_contractfixed/figures/glofas_qdesn_discrepancy_identity_reconciliation.pdf"
