"model_label","nominal","interval_score","covered"
"Q-DESN",0.3,3.19334038277624,0.321428571428571
"Raw GloFAS",0.3,4.90803719431531,0
"Q-DESN",0.65,4.32306633357635,0.5
"Raw GloFAS",0.65,9.05055786883865,0
"Q-DESN",0.9,5.06247320883594,0.928571428571429
"Raw GloFAS",0.9,25.2027636659504,0
