"target_date","horizon","median","q05","q95","n_members"
2022-12-26,1,0.271933715483642,0.271933715483642,0.271933715483642,51
2022-12-27,2,0.283768173130645,0.277868451003456,0.641767313581061,51
2022-12-28,3,1.1268555009815,0.83646532994508,1.51312766088714,51
2022-12-29,4,1.1738357099057,0.927167655587876,1.54995705816708,51
2022-12-30,5,1.33005464279701,1.02132780309448,1.69259842171405,51
2022-12-31,6,1.6715320422299,1.27729754004953,2.04920063203768,51
2023-01-01,7,1.94031416355119,1.50392666997048,2.29826164498126,51
2023-01-02,8,1.8955562629097,1.4140221660756,2.25530766804234,51
2023-01-03,9,2.0023242383354,1.48024668428203,2.52624400362176,51
2023-01-04,10,2.0755276423587,1.54059760555945,2.49898869741784,51
2023-01-05,11,2.15737866878902,1.66542714305715,2.77801348926031,51
2023-01-06,12,2.20414502018079,1.63100226594019,2.73702186825083,51
2023-01-07,13,2.21187369755245,1.66723448222577,2.7708844660674,51
2023-01-08,14,2.19722457733622,1.57919578702933,2.67931471976309,51
2023-01-09,15,2.15828160338761,1.49246444365106,2.73322179630416,51
2023-01-10,16,2.18675327746892,1.44292927524275,2.68111122367927,51
2023-01-11,17,2.18675327746892,1.35180255748735,2.65370581513791,51
2023-01-12,18,2.12525107771113,1.26113281185909,2.72098051579226,51
2023-01-13,19,2.035522307745,1.17715033074629,2.6411282303708,51
2023-01-14,20,1.95700904212336,1.22091869732743,2.56372064505241,51
2023-01-15,21,1.89085037187229,1.17134403954484,2.57475968015442,51
2023-01-16,22,1.84747007624206,1.11573122198973,2.60017027424235,51
2023-01-17,23,1.77070606003022,1.03041846347435,2.52828460025134,51
2023-01-18,24,1.68755569169805,0.952214814999333,2.48943657741557,51
2023-01-19,25,1.64323529201739,0.87050713511141,2.43397376309287,51
2023-01-20,26,1.6031682994205,0.840629406262924,2.42106209128785,51
2023-01-21,27,1.51099783962085,0.906866534263927,2.37962625205187,51
2023-01-22,28,1.5212895256574,0.831549503419064,2.28097484373632,51
