"model_id","display_label","likelihood","fit_structure","fit_truth_mae","fit_truth_rmse","fit_check_loss","forecast_truth_mae","forecast_truth_rmse","forecast_check_loss","crps_grid_mean","abs_hit_rate_error","abs_coverage_error","fit_raw_crossing_pairs","fit_contract_crossing_pairs","fit_reached_max_iter","fit_elapsed_seconds","forecast_raw_crossing_pairs","forecast_contract_crossing_pairs","forecast_reached_max_iter","forecast_elapsed_seconds","forecast_max_abs_adjustment","article_label","article_role","main_table_included"
"joint_qdesn_rhs_vb","JOINT QDESN RHS","al","joint",0.0911160889207263,0.1242689560594,0.15417490424228,0.102868287573119,0.137606637631818,0.161084714293603,0.368556183405146,0.0209235209235209,0.0338196782641227,0,0,8,1242.946,4,0,8,1120.108,0.0544336605283462,"Joint QDESN RHS","primary joint model",TRUE
"qdesn_rhs_independent_vb","QDESN RHS","al","independent_single_tau",0.096727783879285,0.134075877152292,0.154039698556331,0.10365503157224,0.144746206893903,0.161124973157185,0.367997640542805,0.0177970177970178,0.0334455667789001,28,0,8,1430.017,157,0,8,1278.439,0.241274487037022,"Independent QDESN RHS","independent AL comparator",TRUE
"joint_exqdesn_rhs_vb","JOINT exQDESN RHS","exal","joint",0.131043397288554,0.171206835480971,0.15636694660328,0.154668243845784,0.197643897230675,0.163481455979892,0.371369069737505,0.0394260060926728,0.0815563037785259,0,0,9,3682.283,0,0,9,3347.55,1.77635683940025e-15,"Joint exQDESN RHS","joint exAL comparator",TRUE
