region,fold,selected_family,old_qdesn_method_id,promoted_qdesn_method_id,likelihood_family_changed,selected_validation_AQL,old_qdesn_AQL,promoted_qdesn_AQL,AQL_gain,old_qdesn_AQCR_percent,promoted_qdesn_AQCR_percent,old_qdesn_MAE,promoted_qdesn_MAE,old_qdesn_RMSE,promoted_qdesn_RMSE,pricefm_AQL,feature_policy,input_scope,spatial_information_set,experiment_id,source_case_config,source_case_config_sha256,r91_decision_path,r91_decision_sha256
IT_NORD,3,exal,qdesn_al_rhs_ns_exact_chunked,qdesn_exal_rhs_ns_exact_chunked,True,4.700792677868172,4.584470237313799,4.45544588449818,0.1290243528156196,3.8180214025500896,1.765994990892532,11.275201045456912,11.07133051215622,15.23060068365696,15.041249917924906,5.840088837620187,target_only,local_target_only,local_only_not_pricefm_graph,stageb_d2_l096_d2_n080x080_a0p4_r0p9_in0p35_seed20260603,application/data_local/pricefm/experiment_grids/pricefm_stage_r69b_bounded_cran111_independent_vb_20260831/configs/cases/pricefm_joint_it_nord_f3.yaml,79c47c6249494dc94643504e649e71d3fe311cacefc0fbfd05a17841fc3427a3,application/data_local/pricefm/authoritative/pricefm_stage_r91_test_audit_and_promotion_20260905/pricefm_stage_r91_promotion_queue.csv,3a5f4899ed1e01421af2376f723d6b95d44220d604304e64844cbb232ee7ef3d
SE_3,1,exal,qdesn_exal_rhs_ns_exact_chunked,qdesn_exal_rhs_ns_exact_chunked,False,6.961727187685256,7.620994423074456,7.563095505135696,0.0578989179387594,3.50260416666666,2.866030092592593,19.18037874887109,18.907272291660963,29.0528592335742,28.882833646702245,7.628088234250624,target_only,local_target_only,local_only_not_pricefm_graph,covm_se3_f1_target_d2_n080x080_s035,application/data_local/pricefm/experiment_grids/pricefm_stage_r69b_bounded_cran111_independent_vb_20260831/configs/cases/pricefm_joint_se_3_f1.yaml,6842c33288cafe85806121bebd9f87a52378df47467952f6d00de6d798fad8a7,application/data_local/pricefm/authoritative/pricefm_stage_r91_test_audit_and_promotion_20260905/pricefm_stage_r91_promotion_queue.csv,3a5f4899ed1e01421af2376f723d6b95d44220d604304e64844cbb232ee7ef3d
IT_CNOR,1,exal,qdesn_exal_rhs_ns_exact_chunked,qdesn_exal_rhs_ns_exact_chunked,False,4.35481390321954,4.723481430898071,4.692526808201997,0.0309546226960737,4.83796296296296,2.3075810185185186,11.286237158814508,11.205183681601593,15.088774255343033,15.021514399666676,5.940015534943226,graph_neighbor_spread_summary,pricefm_graph_neighbor_spread_summary_degree1_n2,pricefm_neighbor_augmented_spread_summary,r3_itcnor_f1_spread_center_seed20260704,application/data_local/pricefm/experiment_grids/pricefm_stage_r69b_bounded_cran111_independent_vb_20260831/configs/cases/pricefm_joint_it_cnor_f1.yaml,52f0ae730cfb487ef4472761c133ebff96ce6d5fd3f303de1589df9422f816e8,application/data_local/pricefm/authoritative/pricefm_stage_r91_test_audit_and_promotion_20260905/pricefm_stage_r91_promotion_queue.csv,3a5f4899ed1e01421af2376f723d6b95d44220d604304e64844cbb232ee7ef3d
DK_2,2,exal,qdesn_exal_rhs_ns_exact_chunked,qdesn_exal_rhs_ns_exact_chunked,False,6.186675552028517,6.331814404231567,6.314901823540136,0.0169125806914314,2.5660569105691,1.215277777777778,15.959817753894267,15.939062029586005,22.325103222867327,22.339861851046575,8.251470912118323,graph_khop,pricefm_graph_khop_degree1,pricefm_released_graph_khop,stageg_dk2_f2_graphd1_d3_compact_seedrob20260616,application/data_local/pricefm/experiment_grids/pricefm_stage_r69b_bounded_cran111_independent_vb_20260831/configs/cases/pricefm_joint_dk_2_f2.yaml,c68ca5449279c20196bb178e7bb8732e6a47788ad38a665d042008e66f27861a,application/data_local/pricefm/authoritative/pricefm_stage_r91_test_audit_and_promotion_20260905/pricefm_stage_r91_promotion_queue.csv,3a5f4899ed1e01421af2376f723d6b95d44220d604304e64844cbb232ee7ef3d
HU,1,exal,qdesn_exal_rhs_ns_exact_chunked,qdesn_exal_rhs_ns_exact_chunked,False,12.227306940063157,7.884141133459688,7.871386186505393,0.0127549469542955,3.60098379629629,3.1235532407407405,19.56157152664539,19.58026668208789,29.297440229157736,29.35103235109355,8.500269904729523,graph_khop,pricefm_graph_khop_degree2,pricefm_released_graph_khop,stageh_hu_f1_graphd2_input_low_seedrob20260625,application/data_local/pricefm/experiment_grids/pricefm_stage_r69b_bounded_cran111_independent_vb_20260831/configs/cases/pricefm_joint_hu_f1.yaml,579562e08371b912acee7035ee8d6b33bb0c351a50e585dd68792bb785f6c8c0,application/data_local/pricefm/authoritative/pricefm_stage_r91_test_audit_and_promotion_20260905/pricefm_stage_r91_promotion_queue.csv,3a5f4899ed1e01421af2376f723d6b95d44220d604304e64844cbb232ee7ef3d
ES,1,al,qdesn_al_rhs_ns_exact_chunked,qdesn_al_rhs_ns_exact_chunked,False,4.449134429592495,5.24314686004283,5.232137202854714,0.0110096571881159,0.39785879629629,0.3399884259259259,13.417159636807698,13.382698824498265,17.777815344928754,17.73854938941873,5.959307661149726,target_only,local_target_only,local_only_not_pricefm_graph,stageb_core_l096_d1_n120_a0p5_r0p9_in0p50_seed20260601,application/data_local/pricefm/experiment_grids/pricefm_stage_r69b_bounded_cran111_independent_vb_20260831/configs/cases/pricefm_joint_es_f1.yaml,cdd7561b7e7203509d16e63e96c06752e4f502216ce1c8b2c12a44aa4beb5041,application/data_local/pricefm/authoritative/pricefm_stage_r91_test_audit_and_promotion_20260905/pricefm_stage_r91_promotion_queue.csv,3a5f4899ed1e01421af2376f723d6b95d44220d604304e64844cbb232ee7ef3d
DK_2,3,exal,qdesn_exal_rhs_ns_exact_chunked,qdesn_exal_rhs_ns_exact_chunked,False,6.091113751803952,7.411013360435608,7.407690324517049,0.0033230359185587,2.26975182149362,2.2227914389799635,17.97239926746323,17.971767607048857,28.62759423700514,28.628522463732903,9.36851241011154,graph_khop,pricefm_graph_khop_degree2,pricefm_released_graph_khop,stagef_dk2_f3_graphd2_input_lo_seedrob20260616,application/data_local/pricefm/experiment_grids/pricefm_stage_r69b_bounded_cran111_independent_vb_20260831/configs/cases/pricefm_joint_dk_2_f3.yaml,83aff52ee1f3ee0c9274a274c5c88150ca5d9525b027c0e6cd8ece0f54eaeb78,application/data_local/pricefm/authoritative/pricefm_stage_r91_test_audit_and_promotion_20260905/pricefm_stage_r91_promotion_queue.csv,3a5f4899ed1e01421af2376f723d6b95d44220d604304e64844cbb232ee7ef3d
AT,1,exal,qdesn_exal_rhs_ns_exact_chunked,qdesn_exal_rhs_ns_exact_chunked,False,8.44155111226279,6.741377245627536,6.739249934522802,0.0021273111047337,0.48177083333333,0.2300347222222222,16.568218037263488,16.536804850390975,25.7893579614914,25.74932539777829,7.402188067926763,target_only,local_target_only,local_only_not_pricefm_graph,stagec_p0_completionfolds_at_f1_core_l096_d1_n120_a0p5_r0p9_in0p50_seed20260601,application/data_local/pricefm/experiment_grids/pricefm_stage_r69b_bounded_cran111_independent_vb_20260831/configs/cases/pricefm_joint_at_f1.yaml,1e0243272f6750148f05b158a90d8013b292dcd6a70814d1b5491879c7a00e43,application/data_local/pricefm/authoritative/pricefm_stage_r91_test_audit_and_promotion_20260905/pricefm_stage_r91_promotion_queue.csv,3a5f4899ed1e01421af2376f723d6b95d44220d604304e64844cbb232ee7ef3d
LV,3,exal,qdesn_exal_rhs_ns_exact_chunked,qdesn_exal_rhs_ns_exact_chunked,False,9.640765057325964,12.840326781647786,12.838357700378818,0.0019690812689674,0.2191484517304099,0.2106102003642987,31.068737461904853,31.05037695899912,56.4253090052159,56.42083594604311,13.756952699006629,graph_khop,pricefm_graph_khop_degree2,pricefm_released_graph_khop,stagef_lv_f3_graphd2_base_seedrob20260616,application/data_local/pricefm/experiment_grids/pricefm_stage_r69b_bounded_cran111_independent_vb_20260831/configs/cases/pricefm_joint_lv_f3.yaml,91a6d7f0fd4656d522c0bb25704fb6cf75d96e3faa586cf9422f2d728890c24d,application/data_local/pricefm/authoritative/pricefm_stage_r91_test_audit_and_promotion_20260905/pricefm_stage_r91_promotion_queue.csv,3a5f4899ed1e01421af2376f723d6b95d44220d604304e64844cbb232ee7ef3d
FR,3,exal,qdesn_exal_rhs_ns_exact_chunked,qdesn_exal_rhs_ns_exact_chunked,False,5.841159132268501,5.7202387674179285,5.719495284131799,0.0007434832861292,0.08680555555555,0.0868055555555555,14.525634473799078,14.526162332107162,18.54153350660852,18.542074709173814,6.817622784413432,target_only,local_target_only,local_only_not_pricefm_graph,stageb_core_l096_d1_n120_a0p5_r0p9_in0p50_seed20260601,application/data_local/pricefm/experiment_grids/pricefm_stage_r69b_bounded_cran111_independent_vb_20260831/configs/cases/pricefm_joint_fr_f3.yaml,d52b5588892be51deea776974abad2ab4582f310cdfb7926f318cda3e14f5931,application/data_local/pricefm/authoritative/pricefm_stage_r91_test_audit_and_promotion_20260905/pricefm_stage_r91_promotion_queue.csv,3a5f4899ed1e01421af2376f723d6b95d44220d604304e64844cbb232ee7ef3d
