"base_scenario_id","dgp_replicate_id","variant_id","joint_mcmc_case_id","independent_mcmc_case_id","n_draws","score_delta_mean","score_delta_median","score_delta_q025","score_delta_q975","relative_score_delta_mean","probability_lower_score","probability_practical_superiority","probability_noninferior"
"asymmetric_laplace_tail","article_fixture","AL","asymmetric_laplace_tail__joint_qdesn_rhs_vb","asymmetric_laplace_tail__qdesn_rhs_independent_vb",8000,0.000287034578880762,8.0598537408022e-05,-0.00347363903087515,0.00487024501817528,0.000920847432191286,0.481125,0.031875,0.90925
"asymmetric_laplace_tail","article_fixture","exAL","asymmetric_laplace_tail__joint_exqdesn_rhs_vb","asymmetric_laplace_tail__exqdesn_rhs_independent_vb",8000,-0.00042529844378766,-0.000416152705616513,-0.00472353557835908,0.00377863436146172,-0.00132094448187855,0.59225,0.07925,0.959375
"gaussian_mixture_bridge","article_fixture","AL","gaussian_mixture_bridge__joint_qdesn_rhs_vb","gaussian_mixture_bridge__qdesn_rhs_independent_vb",8000,3.22014004304572e-05,3.45809841695022e-05,-0.0037784670538594,0.00381715883221683,9.4828708357494e-05,0.492125,0.020625,0.975625
"gaussian_mixture_bridge","article_fixture","exAL","gaussian_mixture_bridge__joint_exqdesn_rhs_vb","gaussian_mixture_bridge__exqdesn_rhs_independent_vb",8000,-0.00018264124641296,-0.000132346373070025,-0.00550910937853758,0.0049771312103603,-0.000446780453876491,0.5225,0.075125,0.942875
"laplace_bridge","article_fixture","AL","laplace_bridge__joint_qdesn_rhs_vb","laplace_bridge__qdesn_rhs_independent_vb",8000,-0.000790748769016589,-0.000845522564876494,-0.00389862405609288,0.00271273611654148,-0.00243764735922198,0.71725,0.056625,0.985375
"laplace_bridge","article_fixture","exAL","laplace_bridge__joint_exqdesn_rhs_vb","laplace_bridge__exqdesn_rhs_independent_vb",8000,-0.00108153537963917,-0.000908434760148485,-0.00654484558623278,0.00315245483539202,-0.0033108440232874,0.68225,0.147375,0.976375
"nonlinear_reservoir_friendly","article_fixture","AL","nonlinear_reservoir_friendly__joint_qdesn_rhs_vb","nonlinear_reservoir_friendly__qdesn_rhs_independent_vb",8000,-0.00117517580740586,-0.001142095528231,-0.00593279150227296,0.00325282744841515,-0.00272535535039824,0.688125,0.09125,0.99075
"nonlinear_reservoir_friendly","article_fixture","exAL","nonlinear_reservoir_friendly__joint_exqdesn_rhs_vb","nonlinear_reservoir_friendly__exqdesn_rhs_independent_vb",8000,-0.000925756215747188,-0.000886620074483507,-0.00728875138124697,0.00551807128930759,-0.002121540996657,0.617875,0.13725,0.946375
"normal_bridge","article_fixture","AL","normal_bridge__joint_qdesn_rhs_vb","normal_bridge__qdesn_rhs_independent_vb",8000,-0.000754185952893643,-0.000744209854217498,-0.00510759885544334,0.00345419584972438,-0.00240178979485733,0.651875,0.118375,0.9645
"normal_bridge","article_fixture","exAL","normal_bridge__joint_exqdesn_rhs_vb","normal_bridge__exqdesn_rhs_independent_vb",8000,-0.00012798772156757,-0.000206765577266482,-0.00659648394747731,0.00678530890042532,-0.000358905847602555,0.52875,0.166375,0.85075
"persistent_heavy_tail","article_fixture","AL","persistent_heavy_tail__joint_qdesn_rhs_vb","persistent_heavy_tail__qdesn_rhs_independent_vb",8000,0.000866402461243046,0.000841017288007978,-0.00419283406288021,0.00595655930755858,0.00240661925043388,0.36075,0.037875,0.86925
"persistent_heavy_tail","article_fixture","exAL","persistent_heavy_tail__joint_exqdesn_rhs_vb","persistent_heavy_tail__exqdesn_rhs_independent_vb",8000,0.00138983121758601,0.00133783017601399,-0.00470649058985475,0.00767428105479255,0.00385957008486698,0.31225,0.0445,0.790875
"regime_shift","article_fixture","AL","regime_shift__joint_qdesn_rhs_vb","regime_shift__qdesn_rhs_independent_vb",8000,0.00583142543783792,0.00433941797833398,-0.00952562666572786,0.0285236002860684,0.0136183887862391,0.266,0.0975,0.497875
"regime_shift","article_fixture","exAL","regime_shift__joint_exqdesn_rhs_vb","regime_shift__exqdesn_rhs_independent_vb",8000,0.00794712206904416,0.00623471807705148,-0.00899180791257463,0.0328780616851209,0.0185179519595869,0.2135,0.077625,0.4145
"student_t_location_scale","article_fixture","AL","student_t_location_scale__joint_qdesn_rhs_vb","student_t_location_scale__qdesn_rhs_independent_vb",8000,-0.000612278579688715,-0.000661310505495033,-0.00424437545208507,0.00334865262828797,-0.00180452768455891,0.66475,0.053625,0.97525
"student_t_location_scale","article_fixture","exAL","student_t_location_scale__joint_exqdesn_rhs_vb","student_t_location_scale__exqdesn_rhs_independent_vb",8000,0.000580533679083182,0.000309108021500026,-0.00473662256454415,0.00756534271804233,0.0017472540495407,0.4465,0.06475,0.84575
