"model_id","diagnostic","n_crossing_pairs","max_crossing_magnitude"
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","after_isotonic",0,0
"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7","before_isotonic",1,0.0490713357461803
"raw_glofas_reservoir_only_m360_full7","after_isotonic",0,0
"raw_glofas_reservoir_only_m360_full7","before_isotonic",0,0
