"quantile_id","quantile_level","fit_id","converged","iterations","final_parameter_change","final_elbo","beta_norm_mean","alpha_norm_mean","sigma_Y_mean","sigma_G_mean","max_abs_theta","fit_core_hours","fit_path"
"p05",0.05,"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p05",FALSE,200,0.000772116820516097,12604.3466453028,0.538786487817781,0.314925718934357,0.0219502675887501,0.0165348006375326,0.529281143369568,6.26382555555556,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_p05/objects/qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p05.rds"
"p15",0.15,"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p15",FALSE,200,0.0678021992938195,-50.7881882849201,0.627773975664688,0.344479862273963,0.0573695768888535,0.042513696293395,0.613284932866876,6.08460361111111,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_p15/objects/qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p15.rds"
"p35",0.35,"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p35",FALSE,200,0.00313845713638469,-7971.4479799212,0.765571283282633,0.377295476957941,0.106759311309812,0.0756624191413606,0.741669811839736,5.89325666666667,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_p35/objects/qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p35.rds"
"p50",0.5,"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p50",TRUE,167,9.89677031284047e-05,-9892.21519641817,0.868560433947924,0.397947561425946,0.12729075203077,0.085072221904735,0.838312407984562,5.57903833333333,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_p50/objects/qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p50.rds"
"p65",0.65,"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p65",TRUE,109,9.09005943003915e-05,-9803.41862905192,1.00005968375171,0.440464453831054,0.131033169305378,0.0818306931143787,0.965312019056581,3.44672027777778,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_p65/objects/qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p65.rds"
"p80",0.8,"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p80",TRUE,137,9.8993506060574e-05,-7117.09884340294,1.18506473166523,0.508825192602741,0.112985041800531,0.0636037350208498,1.14798105718815,4.24028111111111,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_p80/objects/qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p80.rds"
"p95",0.95,"qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p95",FALSE,200,0.00170056688087806,4611.58616414887,1.64134404930076,0.77422479274062,0.0521478800986216,0.0237705335948535,1.60677931974081,5.89819333333333,"/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_reservoir_only_m360_full7_20260607_p95/objects/qdesn_latent_path_rhs_al_vb_reservoir_only_m360_full7_p95.rds"
