"output_role","storage_class","promoted_path","source_path","run_id","diagnostic_run_id","config_path","article_git_sha","engine_repo_sha","engine_repo_sha_source","engine_repo_sha_field","source_sha256","promoted_sha256","file_size_bytes","promoted_at"
"launch_readiness_summary","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_launch_readiness_summary__glofas_stage_f_alpha025_scorebalanced_20260624.txt","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/launch_readiness_summary.txt","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","646c165c93214337cb6669ddf87bd1ee63786270d5a9257af9c48dca69e02dbb","646c165c93214337cb6669ddf87bd1ee63786270d5a9257af9c48dca69e02dbb",557,"2026-06-24 02:45:14 EDT"
"quantile_synthesis_diagnostic_summary","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_quantile_synthesis_diagnostic_summary__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/quantile_synthesis_diagnostic_summary.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","4babca739e8180b166896c0171916d3d3404a29d0572230e9921287c7f2e7de7","4babca739e8180b166896c0171916d3d3404a29d0572230e9921287c7f2e7de7",452,"2026-06-24 02:45:14 EDT"
"score_by_quantile","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_by_quantile__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/score_by_quantile.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","a61fa418cfd38516ad03c49feed02ac395ffc4ca41c8b2847279fbb969843ebc","a61fa418cfd38516ad03c49feed02ac395ffc4ca41c8b2847279fbb969843ebc",275950,"2026-06-24 02:45:14 EDT"
"score_by_interval","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_by_interval__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/score_by_interval.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","b29de14fb740d20769603386838c102758d17f2f7edce609f599c7c507ca6c9e","b29de14fb740d20769603386838c102758d17f2f7edce609f599c7c507ca6c9e",22903,"2026-06-24 02:45:14 EDT"
"score_by_crps","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_by_crps__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/score_by_crps.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","2ff66d35afa2bad17514a426157b204876fc306093a0d8ea7d78ca9fff0a298b","2ff66d35afa2bad17514a426157b204876fc306093a0d8ea7d78ca9fff0a298b",6601,"2026-06-24 02:45:14 EDT"
"synthesis_source_readiness","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_synthesis_source_readiness__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/synthesis_source_readiness.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","a8356b4961afd100c01dc1ea7e5aefc95652da81412f7cebc5b51ac8d7d6ed9d","a8356b4961afd100c01dc1ea7e5aefc95652da81412f7cebc5b51ac8d7d6ed9d",739,"2026-06-24 02:45:14 EDT"
"qdesn_discrepancy_fit_diagnostics_synthesis","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_qdesn_discrepancy_fit_diagnostics_synthesis__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/qdesn_discrepancy_fit_diagnostics.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","99e3d7783820367664fe0592102f7f7a394e3c14449eca5dcd9d724ea473e525","99e3d7783820367664fe0592102f7f7a394e3c14449eca5dcd9d724ea473e525",5889,"2026-06-24 02:45:14 EDT"
"qdesn_discrepancy_vb_iteration_timing","article_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_qdesn_discrepancy_vb_iteration_timing__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final/tables/qdesn_discrepancy_vb_iteration_timing.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","37757c06d3680d46de6fdc80e5af95eaa2df4c30535cf45f99e87f027564356c","37757c06d3680d46de6fdc80e5af95eaa2df4c30535cf45f99e87f027564356c",2117582,"2026-06-24 02:45:14 EDT"
"diagnostic_readiness_report","diagnostic_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_diagnostic_readiness_report__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures/tables/diagnostic_readiness_report.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","3a110fb7ac4f35ce4e84c8d0041317404777acd48b5b56cb9543f92796d410c2","3a110fb7ac4f35ce4e84c8d0041317404777acd48b5b56cb9543f92796d410c2",2181,"2026-06-24 02:45:14 EDT"
"score_relative_improvement","diagnostic_table","/data/jaguir26/local/src/Article-Q-DESN/tables/glofas_application_score_relative_improvement__glofas_stage_f_alpha025_scorebalanced_20260624.csv","/data/jaguir26/local/src/Article-Q-DESN/application/runs/glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures/tables/score_relative_improvement.csv","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_synthesis_final","glofas_stage_f_alpha025_full7_confirmation_20260623_d_alpha_025_scorebalanced_diagnostic_figures","/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_f_alpha025_full7_confirmation_20260623/d_alpha_025/synthesis_config_scorebalanced.yaml","706205bc0927df1585bbcf65fd68684edd6bf705","73c043f0436b508808366f312350fd44c2d06771","synthesis_config.dependencies.qdesn_engine_required_commit","dependencies.qdesn_engine_required_commit","df94b53f57d4437142264eba5f6a2c50f5d580ce6322d671fd5377953658c85b","df94b53f57d4437142264eba5f6a2c50f5d580ce6322d671fd5377953658c85b",271,"2026-06-24 02:45:14 EDT"
