"model_id","model_family","n_quantile_levels","quantile_levels","n","check_loss_mean","mae_to_observation","rmse_to_observation","bias_to_observation","interval_score_mean","interval_coverage_mean","crps_quantile_grid_mean"
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",28,0.748292396057817,1.49658479211563,1.6786412484757,-1.48190593114442,,,
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",28,0.875378727598426,1.75075745519685,1.91900632037419,-1.75075745519685,,,
