"model_label","nominal","interval_score","covered"
"Q-DESN",0.3,4.34271798334428,0
"Raw GloFAS",0.3,4.90803719431531,0
"Q-DESN",0.65,7.20933370819661,0.0714285714285714
"Raw GloFAS",0.65,9.05055786883865,0
"Q-DESN",0.9,10.9127085793165,0.464285714285714
"Raw GloFAS",0.9,25.2027636659504,0
