"case_id","window","raw_crossing_pairs","contract_crossing_pairs","mean_abs_monotone_adjustment","max_abs_monotone_adjustment","raw_crossing_rate","coherence_status"
"asymmetric_laplace_tail__joint_qdesn_rhs_vb","fit",0,0,8.38471157584207e-17,8.88178419700125e-16,0.00362603114478114,"pass"
"asymmetric_laplace_tail__joint_qdesn_rhs_vb","forecast",1,0,2.36112668483217e-06,0.00818130396263772,0.00362603114478114,"pass"
"asymmetric_laplace_tail__qdesn_rhs_independent_vb","fit",5,0,8.22800411385565e-05,0.0775180402376312,0.0152614267676768,"review"
"asymmetric_laplace_tail__qdesn_rhs_independent_vb","forecast",6,0,7.16852028172681e-05,0.157895957175382,0.0152614267676768,"review"
"asymmetric_laplace_tail__joint_exqdesn_rhs_vb","fit",0,0,8.31041584754238e-17,1.33226762955019e-15,0.00883838383838384,"pass"
"asymmetric_laplace_tail__joint_exqdesn_rhs_vb","forecast",0,0,8.46875479795916e-17,1.77635683940025e-15,0.00883838383838384,"pass"
"asymmetric_laplace_tail__exqdesn_rhs_independent_vb","fit",0,0,8.89199428374557e-17,8.88178419700125e-16,0.0211324494949495,"review"
"asymmetric_laplace_tail__exqdesn_rhs_independent_vb","forecast",0,0,8.7493144042903e-17,1.77635683940025e-15,0.0211324494949495,"review"
"gaussian_mixture_bridge__joint_qdesn_rhs_vb","fit",0,0,6.41153796721028e-17,8.88178419700125e-16,0.00311342592592593,"pass"
"gaussian_mixture_bridge__joint_qdesn_rhs_vb","forecast",0,0,6.79691191897591e-17,8.88178419700125e-16,0.00311342592592593,"pass"
"gaussian_mixture_bridge__qdesn_rhs_independent_vb","fit",0,0,6.48925357893404e-17,6.66133814775094e-16,0.0114988846801347,"review"
"gaussian_mixture_bridge__qdesn_rhs_independent_vb","forecast",0,0,6.49657696566033e-17,8.88178419700125e-16,0.0114988846801347,"review"
"gaussian_mixture_bridge__joint_exqdesn_rhs_vb","fit",0,0,6.52493931901128e-17,8.88178419700125e-16,0.0153408249158249,"review"
"gaussian_mixture_bridge__joint_exqdesn_rhs_vb","forecast",0,0,6.51284782077411e-17,8.88178419700125e-16,0.0153408249158249,"review"
"gaussian_mixture_bridge__exqdesn_rhs_independent_vb","fit",0,0,6.15975524555422e-17,8.88178419700125e-16,0.0283249368686869,"review"
"gaussian_mixture_bridge__exqdesn_rhs_independent_vb","forecast",0,0,6.40190562098292e-17,8.88178419700125e-16,0.0283249368686869,"review"
"laplace_bridge__joint_qdesn_rhs_vb","fit",0,0,7.44974518581846e-17,8.88178419700125e-16,0.0034418771043771,"pass"
"laplace_bridge__joint_qdesn_rhs_vb","forecast",0,0,6.78119176972752e-17,8.88178419700125e-16,0.0034418771043771,"pass"
"laplace_bridge__qdesn_rhs_independent_vb","fit",1,0,1.12652081899156e-06,0.00197141143310758,0.0214554503367003,"review"
"laplace_bridge__qdesn_rhs_independent_vb","forecast",10,0,6.12554469849528e-05,0.046284740414169,0.0214554503367003,"review"
"laplace_bridge__joint_exqdesn_rhs_vb","fit",0,0,7.17806270771655e-17,8.88178419700125e-16,0.0132230429292929,"review"
"laplace_bridge__joint_exqdesn_rhs_vb","forecast",0,0,6.81711281140179e-17,8.88178419700125e-16,0.0132230429292929,"review"
"laplace_bridge__exqdesn_rhs_independent_vb","fit",0,0,6.85285161949878e-17,8.88178419700125e-16,0.046142803030303,"review"
"laplace_bridge__exqdesn_rhs_independent_vb","forecast",0,0,6.75125339631816e-17,8.88178419700125e-16,0.046142803030303,"review"
"nonlinear_reservoir_friendly__joint_qdesn_rhs_vb","fit",0,0,8.34689460406577e-17,8.88178419700125e-16,0.0012672138047138,"pass"
"nonlinear_reservoir_friendly__joint_qdesn_rhs_vb","forecast",0,0,8.3396893687797e-17,8.88178419700125e-16,0.0012672138047138,"pass"
"nonlinear_reservoir_friendly__qdesn_rhs_independent_vb","fit",1,0,8.32580883061033e-07,0.00145701654520392,0.00999587542087542,"pass"
"nonlinear_reservoir_friendly__qdesn_rhs_independent_vb","forecast",1,0,1.82931152190117e-06,0.00633856442309633,0.00999587542087542,"pass"
"nonlinear_reservoir_friendly__joint_exqdesn_rhs_vb","fit",0,0,7.91985524780817e-17,6.66133814775094e-16,0.0111382154882155,"review"
"nonlinear_reservoir_friendly__joint_exqdesn_rhs_vb","forecast",0,0,7.43953559971583e-17,7.7715611723761e-16,0.0111382154882155,"review"
