"scenario_id","source_model_id","likelihood_family","fit_structure","metric_window","metric_role","metric_label","posterior_mean","posterior_median","posterior_q025","posterior_q975","n_draws","n_chains","draws_per_chain","point_reference_value","canonical_metric_value","canonical_raw_crossing_pairs","canonical_rearranged_crossing_pairs","crossing_opportunities_per_scenario","primary_pairing_seed","packet_manifest_sha256","fixture_manifest_sha256","model_label","scenario_label"
"nonlinear_reservoir_friendly","joint_exqdesn_rhs_vb","exAL","joint","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.21441524882837,0.214260830011409,0.170923858142371,0.257833205367056,8000,8,1000,0,0.197273182978732,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint exQDESN (exAL--RHS)","Nonlinear reservoir dynamics"
"nonlinear_reservoir_friendly","exqdesn_rhs_independent_vb","exAL","independent","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.212082670776839,0.211975102473366,0.169242715076444,0.255236285545203,8000,8,1000,0,0.186916890880489,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent exQDESN (exAL--RHS)","Nonlinear reservoir dynamics"
"normal_bridge","joint_qdesn_rhs_vb","AL","joint","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.116335858304133,0.116306233275871,0.100586038272704,0.132292201253832,8000,8,1000,0,0.105305001478941,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint Q--DESN (AL--RHS)","Gaussian innovations"
"normal_bridge","qdesn_rhs_independent_vb","AL","independent","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.119762183230481,0.119791564493348,0.104060315247213,0.135327185890367,8000,8,1000,0,0.107047667527294,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent Q--DESN (AL--RHS)","Gaussian innovations"
"normal_bridge","joint_exqdesn_rhs_vb","exAL","joint","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.128620238702305,0.128688189694404,0.0972178645941646,0.160338355416747,8000,8,1000,0,0.114534595459176,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint exQDESN (exAL--RHS)","Gaussian innovations"
"normal_bridge","exqdesn_rhs_independent_vb","exAL","independent","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.130541594679758,0.130460454259316,0.100058891223134,0.161553864258863,8000,8,1000,0,0.11296871191994,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent exQDESN (exAL--RHS)","Gaussian innovations"
"persistent_heavy_tail","joint_qdesn_rhs_vb","AL","joint","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.167239130689347,0.167343381381612,0.141246127396694,0.193443006913854,8000,8,1000,0,0.154059268306176,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint Q--DESN (AL--RHS)","Persistent heavy tails"
"persistent_heavy_tail","qdesn_rhs_independent_vb","AL","independent","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.173051716376479,0.172910695045352,0.145104804613204,0.200790163669977,8000,8,1000,0,0.155576859089126,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent Q--DESN (AL--RHS)","Persistent heavy tails"
"persistent_heavy_tail","joint_exqdesn_rhs_vb","exAL","joint","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.147164566635695,0.14725418696744,0.117344762450374,0.176826936699484,8000,8,1000,0,0.132368943954103,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint exQDESN (exAL--RHS)","Persistent heavy tails"
"persistent_heavy_tail","exqdesn_rhs_independent_vb","exAL","independent","fit","oracle_fit_rmse","Fit RMSE against known quantile paths",0.146155023965738,0.146116221155541,0.116765836071361,0.176107159496816,8000,8,1000,0,0.1257113844685,0,0,3000,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent exQDESN (exAL--RHS)","Persistent heavy tails"
