"model_id","diagnostic","n_crossing_pairs","max_crossing_magnitude"
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","after_isotonic",0,0
"qdesn_latent_path_rhs_al_vb_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","before_isotonic",0,0
"raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","after_isotonic",0,0
"raw_glofas_glofas_calibration_broad_grid_20260619_cal07_shared003_disc006_full7","before_isotonic",0,0
