"model_id","diagnostic","n_crossing_pairs","max_crossing_magnitude"
"qdesn_glofas_discrepancy_fr09_authoritative","after_isotonic",0,0
"qdesn_glofas_discrepancy_fr09_authoritative","before_isotonic",3,0.052547222162964
"raw_glofas_fr09_authoritative","after_isotonic",0,0
"raw_glofas_fr09_authoritative","before_isotonic",0,0
