"model_id","model_family","n_quantile_levels","quantile_levels","horizon","n","check_loss_mean","mae_to_observation","rmse_to_observation","bias_to_observation"
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",14,7,0.81835003972873,1.88291846746894,1.91680888574857,-1.88291846746894
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",15,7,1.17972723374479,2.91945439858207,3.03999602973761,-2.91945439858207
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",15,7,1.47090534872907,3.23305534291663,3.25778707486198,-3.23305534291663
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",16,7,0.702582280441713,1.93240110629435,2.09966660814055,-1.93240110629435
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",16,7,0.852336794747094,1.97233629966232,2.01143631500119,-1.97233629966232
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",17,7,0.784551203474023,1.99369913195314,2.09942629759874,-1.99369913195314
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",17,7,0.817530352846228,1.90812826798026,1.95146240449713,-1.90812826798026
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",18,7,0.518010493050924,1.53681746444317,1.73026274586446,-1.53681746444317
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",18,7,0.768936207652716,1.82843475306116,1.88123041446101,-1.82843475306116
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",19,7,0.848977073706875,2.07710434518534,2.15884795452337,-2.07710434518534
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",19,7,0.857916978211203,2.00516918704548,2.05251757242776,-2.00516918704548
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",20,7,1.02043430386934,2.59309962757004,2.72963072808269,-2.59309962757004
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",20,7,1.4509521952317,3.19771779751705,3.22435360402634,-3.19771779751705
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",21,7,0.598809762141965,1.81827040732108,2.06481308514645,-1.81827040732108
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",21,7,1.03417315461107,2.37257817694602,2.4135861823934,-2.37257817694602
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",22,7,0.87815328718545,2.40500225615134,2.61080421731886,-2.40500225615134
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",22,7,1.16709028742861,2.65403277980127,2.69426529443975,-2.65403277980127
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",23,7,0.953250366494613,2.37221638249207,2.47655989816288,-2.37221638249207
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",23,7,0.860258956051293,2.04388284190018,2.09973766695418,-2.04388284190018
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",24,7,0.657030840118607,1.74219110777161,1.864902749476,-1.74219110777161
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",24,7,0.710373816271325,1.74547656896476,1.81317247909914,-1.74547656896476
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",25,7,0.418428417531058,1.33753388809478,1.50221524090349,-1.26778464982916
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",25,7,0.638972118760618,1.60808869575093,1.68443878108352,-1.60808869575093
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",26,7,0.52884496058976,1.36734178496856,1.44875351157413,-1.36734178496856
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",26,7,0.559446793423628,1.44111888770305,1.52369083284855,-1.44111888770305
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",27,7,0.351238699862205,1.04120405126074,1.16902520410325,-1.04120405126074
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",27,7,0.505539771487189,1.32299397379146,1.40767594086738,-1.32299397379146
"qdesn_glofas_discrepancy_fr09_authoritative","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",28,7,0.296339751763602,0.949188452567896,1.08376172291772,-0.924192134475998
"raw_glofas_fr09_authoritative","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",28,7,0.459263449262038,1.23353287038907,1.32525483873876,-1.23353287038907
