rank,candidate_id,screening_stage,reference_desn,discrepancy_desn,rho,pi_w,pi_in,reference_win_scale,discrepancy_win_scale,shared_tau0,discrepancy_tau0,n_pre_cutoff,p50_observed_window_crps,p50_observed_window_check_loss,p50_observed_window_rmse,p50_observed_window_bias,raw_glofas_p50_observed_window_crps,relative_gain_vs_raw_pct,relative_gain_vs_stage_t_anchor_pct,relative_gain_vs_previous_focused_winner_pct,source_score_file,source_ranking_file,status
1,v_001_d8w300_m365_a010,V,D=8; n=300; n_tilde=300; m=365; alpha=0.1,D=8; n=300; n_tilde=300; m=365; alpha=0.1,0.95,0.03,1.00,0.16,0.28,0.001,0.001,12494,0.116458655543092,0.0582293277715459,0.318289880811914,-0.0609121854089579,0.456891829799173,74.51,39.11,10.44,/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_v_n300_depth_width_probe_20260714/autoclean_scores/scores/v_001_d8w300_m365_a010_scores.csv,/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_v_n300_depth_width_probe_20260714/autoclean_scores/stage_v_n300_depth_probe_ranking_latest.csv,current p50 screening winner; full7 confirmation running
2,x_001_d4w500_m500_a005,X,D=4; n=500; n_tilde=500; m=500; alpha=0.05,D=4; n=500; n_tilde=500; m=500; alpha=0.05,0.95,0.03,1.00,0.16,0.28,0.001,0.001,12494,0.120233299171326,0.0601166495856631,0.323978893946373,-0.062203947905452,0.456891829799173,73.68,37.13,7.53,/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_x_beyond_winner_probe_20260714/autoclean_scores/scores/x_001_d4w500_m500_a005_scores.csv,/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_x_beyond_winner_probe_20260714/autoclean_scores/stage_x_beyond_winner_probe_ranking_latest.csv,near miss
3,x_003_d16w100_m500_a005,X,D=16; n=100; n_tilde=100; m=500; alpha=0.05,D=16; n=100; n_tilde=100; m=500; alpha=0.05,0.95,0.03,1.00,0.16,0.28,0.001,0.001,12494,0.121553590870757,0.0607767954353787,0.325911892387781,-0.0583109654425631,0.456891829799173,73.40,36.44,6.52,/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_x_beyond_winner_probe_20260714/autoclean_scores/scores/x_003_d16w100_m500_a005_scores.csv,/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_x_beyond_winner_probe_20260714/autoclean_scores/stage_x_beyond_winner_probe_ranking_latest.csv,near miss
4,w_001_d8w300_m365_a001,W,D=8; n=300; n_tilde=300; m=365; alpha=0.01,D=8; n=300; n_tilde=300; m=365; alpha=0.01,0.95,0.03,1.00,0.16,0.28,0.001,0.001,12494,0.126646446280352,0.063323223140176,0.335616350094262,-0.0634499455981248,0.456891829799173,72.28,33.78,2.60,/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_w_n300_alpha_probe_20260714/autoclean_scores/scores/w_001_d8w300_m365_a001_scores.csv,/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_w_n300_alpha_probe_20260714/autoclean_scores/stage_w_n300_alpha_probe_ranking_latest.csv,near miss
5,w_002_d4w300_m365_a001,W,D=4; n=300; n_tilde=300; m=365; alpha=0.01,D=4; n=300; n_tilde=300; m=365; alpha=0.01,0.95,0.03,1.00,0.16,0.28,0.001,0.001,12494,0.130030637160995,0.0650153185804976,0.336729572748197,-0.0627738059717356,0.456891829799173,71.54,32.01,0.00,/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_w_n300_alpha_probe_20260714/autoclean_scores/scores/w_002_d4w300_m365_a001_scores.csv,/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_w_n300_alpha_probe_20260714/autoclean_scores/stage_w_n300_alpha_probe_ranking_latest.csv,previous focused winner
6,t_001_control_and_anchor,T,see source ledger,see source ledger,,,,,,,,12494,0.191245025452739,0.0956225127263694,0.418926700770575,-0.0839975511218886,0.456891829799173,58.14,0.00,-47.08,/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_t_focused_obsfit_followup_20260713/autoclean_scores/scores/t_001_control_and_anchor_scores.csv,/data/jaguir26/local/src/Article-Q-DESN/local_trackers/runtime_configs/glofas_stage_t_focused_obsfit_followup_20260713/autoclean_scores/stage_t_autoclean_ranking_latest.csv,Stage T anchor
