"model_id","model_family","n_quantile_levels","quantile_levels","horizon","n","check_loss_mean","mae_to_observation","rmse_to_observation","bias_to_observation"
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",1,7,0.215458276116945,0.760585431756912,0.981166183999627,0.760585431756912
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",1,7,0.144283957784477,0.292750059272851,0.292750059272851,-0.292750059272851
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",2,7,0.684107417370313,1.76594765719011,1.88858491231569,-1.76594765719011
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",2,7,1.35942075145665,2.81125285100148,2.81399694996202,-2.81125285100148
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",3,7,0.244095975158768,0.878605263507484,0.94467621274749,-0.663589359219372
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",3,7,0.47032209038395,1.08256919849528,1.10253752459107,-1.08256919849528
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",4,7,0.0703885005701841,0.510607164703864,0.653790766750497,-0.02322687232219
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",4,7,0.211020812387435,0.554973073963921,0.591696454901468,-0.554973073963921
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",5,7,0.331770209432904,1.03009826203428,1.09706655675722,-0.895415836318216
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","raw_glofas",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",5,7,0.620531941831122,1.39406622108227,1.41098826609664,-1.39406622108227
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",7,"0.05;0.15;0.35;0.50;0.65;0.80;0.95",6,7,1.40971525633377,3.19232037147089,3.24681714233448,-3.19232037147089
