"fit_id","model_id","model_family","quantile_level","inference_method","coefficient_prior","required","status","message","runtime_seconds","source_run_id"
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p05","raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","raw_glofas",0.05,"none","none",TRUE,"completed","",0.538,"glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p05"
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p05","qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",0.05,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",31172.622,"glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p05"
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p15","raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","raw_glofas",0.15,"none","none",TRUE,"completed","",0.263,"glofas_c03_alpha010_full7_completion_20260616_p15"
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p15","qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",0.15,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",15207.264,"glofas_c03_alpha010_full7_completion_20260616_p15"
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p35","raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","raw_glofas",0.35,"none","none",TRUE,"completed","",0.283,"glofas_c03_alpha010_full7_completion_20260616_p35"
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p35","qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",0.35,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",15507.924,"glofas_c03_alpha010_full7_completion_20260616_p35"
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p50","raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","raw_glofas",0.5,"none","none",TRUE,"completed","",0.531,"glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p50"
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p50","qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",0.5,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",29873.923,"glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p50"
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p65","raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","raw_glofas",0.65,"none","none",TRUE,"completed","",0.254,"glofas_c03_alpha010_full7_completion_20260616_p65"
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p65","qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",0.65,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",15265.785,"glofas_c03_alpha010_full7_completion_20260616_p65"
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p80","raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","raw_glofas",0.8,"none","none",TRUE,"completed","",0.282,"glofas_c03_alpha010_full7_completion_20260616_p80"
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p80","qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",0.8,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",15378.171,"glofas_c03_alpha010_full7_completion_20260616_p80"
"raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p95","raw_glofas_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","raw_glofas",0.95,"none","none",TRUE,"completed","",0.541,"glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p95"
"qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p95","qdesn_latent_path_rhs_al_vb_glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current","qdesn_glofas_discrepancy",0.95,"vb_ld","rhs",TRUE,"completed","latent-path AL-VB fit completed; wrote 56000 posterior-draw rows and 28 summary prediction rows",30180.176,"glofas_discrepancy_smoothing_gate_20260616_c03_m420_alpha010_tau_current_p95"
