panel,evaluation_strategy,model,model_family,AQL,AQCR_percent,MAE,RMSE,paper_rank,value_source,cross_panel_role
direct_replay,fold_aligned_released_checkpoint_replay,Selected Q-DESN,qdesn_case_specific,6.826019439122782,2.6443754958218095,16.727651141081658,25.453091657606794,,local_authoritative_metric_reconstruction,direct_comparison
direct_replay,fold_aligned_released_checkpoint_replay,Released PriceFM checkpoint,pricefm_phase1_released_checkpoint,7.03868534653447,0.0,17.27366671978033,26.335538393719123,,local_authoritative_metric_reconstruction,direct_comparison
paper_table_ii,full_shot,Naive1,naive,15.29,0.00,22.06,34.68,11,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,Naive2,naive,15.35,0.00,23.31,34.31,13,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,Naive3,naive,15.46,0.00,22.64,32.61,12,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,FEDFormer,time_series,8.22,15.33,20.15,31.75,8,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,PatchTST,time_series,8.06,18.21,20.20,31.59,8,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,iTransformer,time_series,8.24,13.96,21.03,32.11,9,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,TimesNet,time_series,7.98,13.42,19.48,30.94,7,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,TimeXer,time_series,8.30,14.77,21.94,31.88,10,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,GraphConv,graph,6.61,6.88,16.81,25.97,4,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,GraphAttn,graph,7.13,10.33,17.00,26.11,6,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,GraphSAGE,graph,6.78,6.01,17.56,26.03,5,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,GraphDiffusion,graph,6.69,5.72,16.44,25.93,2,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,GraphARMA,graph,6.72,6.03,16.56,25.84,3,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
paper_table_ii,full_shot,PriceFM,foundation_model,5.80,0.00,14.28,22.39,1,YuEtAl2026PriceFM_arxiv_v4_table_ii,context_only
