"mcmc_case_id","case_id","scenario_id","source_model_id","model_id","display_label","likelihood_family","fit_structure","window","rows","raw_crossing_pairs","contract_crossing_pairs","raw_crossing_opportunities","raw_crossing_rate","mean_abs_monotone_adjustment","max_abs_monotone_adjustment","coherence_status"
"asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,4,0,3000,0.00133333333333333,6.74542699029348e-05,0.0569731586551659,"review"
"asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,876,0,5940,0.147474747474747,0.381792874299793,3.23436341395822,"review"
"asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,41,0,3000,0.0136666666666667,0.00266835605940415,0.455761867058131,"review"
"asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,1880,0,5940,0.316498316498317,0.234058380078623,3.51858526154602,"review"
"asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0,0,3000,0,8.61751146631816e-17,8.88178419700125e-16,"pass"
"asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0,0,5940,0,1.0256145780335e-16,8.88178419700125e-16,"pass"
"asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0,0,3000,0,8.42917006035496e-17,8.88178419700125e-16,"review"
"asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,281,0,5940,0.0473063973063973,0.00466915713361029,0.222103106103083,"review"
"gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,0,0,3000,0,6.47478102879161e-17,8.88178419700125e-16,"review"
"gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,0,0,5940,0,1.7226479982739e-16,1.77635683940025e-15,"review"
"gaussian_mixture_bridge__qdesn_rhs_independent","gaussian_mixture_bridge__qdesn_rhs_independent","gaussian_mixture_bridge","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,8,0,3000,0.00266666666666667,9.4035243482803e-05,0.0515545535711374,"review"
