"model_id","model_family","n_quantile_levels","quantile_levels","horizon","n","check_loss_mean","mae_to_observation","rmse_to_observation","bias_to_observation"
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",1,1,0.102752026798506,0.205504053597013,0.205504053597013,0.205504053597013
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",1,1,0.146375029636426,0.292750059272851,0.292750059272851,-0.292750059272851
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",2,1,1.01511807267139,2.03023614534277,2.03023614534277,-2.03023614534277
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",2,1,1.43384909472674,2.86769818945348,2.86769818945348,-2.86769818945348
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",3,1,0.364468516072115,0.72893703214423,0.72893703214423,-0.72893703214423
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",3,1,0.549884062756395,1.09976812551279,1.09976812551279,-1.09976812551279
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",4,1,0.099238379723145,0.19847675944629,0.19847675944629,-0.19847675944629
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",4,1,0.29076360709285,0.5815272141857,0.5815272141857,-0.5815272141857
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",5,1,0.495178736746245,0.99035747349249,0.99035747349249,-0.99035747349249
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",5,1,0.70715921634982,1.41431843269964,1.41431843269964,-1.41431843269964
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",6,1,1.61727241441507,3.23454482883013,3.23454482883013,-3.23454482883013
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",6,1,1.77914218473875,3.55828436947749,3.55828436947749,-3.55828436947749
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",7,1,0.78789269208536,1.57578538417072,1.57578538417072,-1.57578538417072
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",7,1,0.938231270798145,1.87646254159629,1.87646254159629,-1.87646254159629
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",8,1,0.344792610950295,0.68958522190059,0.68958522190059,-0.68958522190059
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",8,1,0.542254936411525,1.08450987282305,1.08450987282305,-1.08450987282305
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",9,1,0.298096379973265,0.59619275994653,0.59619275994653,-0.59619275994653
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",9,1,0.3941472670028,0.7882945340056,0.7882945340056,-0.7882945340056
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",10,1,0.620782737012125,1.24156547402425,1.24156547402425,-1.24156547402425
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",10,1,0.67489961587271,1.34979923174542,1.34979923174542,-1.34979923174542
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",11,1,1.02906843978638,2.05813687957277,2.05813687957277,-2.05813687957277
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",11,1,1.04823876147105,2.0964775229421,2.0964775229421,-2.0964775229421
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",12,1,0.541800585549095,1.08360117109819,1.08360117109819,-1.08360117109819
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",12,1,0.59181492506779,1.18362985013558,1.18362985013558,-1.18362985013558
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",13,1,0.39749325075754,0.79498650151508,0.79498650151508,-0.79498650151508
"raw_glofas_latent_path_main_p50","raw_glofas",1,"0.5",13,1,0.41747370032229,0.83494740064458,0.83494740064458,-0.83494740064458
"qdesn_latent_path_rhs_al_vb_main_p50","qdesn_glofas_discrepancy",1,"0.5",14,1,0.902073513013655,1.80414702602731,1.80414702602731,-1.80414702602731
