"fit_id","model_id","model_family","quantile_level","method","likelihood_family","coefficient_prior","n_draws","n_theta","n_beta","n_alpha","finite_theta","finite_sigma","beta_norm_mean","beta_norm_sd","alpha_norm_mean","alpha_norm_sd","sigma_Y_mean","sigma_G_mean","sigma_Y_sd","sigma_G_sd","theta_ess_min","theta_ess_median","sigma_ess_min","sigma_ess_median","max_abs_theta","vb_converged","vb_iterations","vb_runtime_seconds","vb_elbo_final","vb_elbo_relative_change","vb_max_parameter_change","application_model_contract","n_future_dates","latent_path_objective_type","future_moment_strategy","future_update_strategy","future_objective_strategy","vb_chunking_enabled","vb_chunking_mode","vb_chunk_size","vb_iteration_timing_rows","vb_stage_timing_rows","vb_substep_timing_rows","vb_draw_backend_requested","vb_theta_draw_backend","vb_future_draw_backend","source_run_id"
"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p05","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7","qdesn_glofas_discrepancy",0.05,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,1.13574006070334,0.00329665296546469,0.866436736777585,0.00468045954418791,0.0151287016394966,0.012909094043082,0.000110489708744994,8.86469195215129e-05,,,,,0.676830085775882,FALSE,250,,16560.2869149466,,0.00331631816386781,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1757,9,0,"chol_eigen_fallback","chol","chol","glofas_deep_identity_d4w100m300a050_full7_20260618_p05"
"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p15","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7","qdesn_glofas_discrepancy",0.15,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,1.26419742772284,0.00500478351723501,0.883934760101763,0.00672661265065549,0.0416492648678314,0.0320498940058573,0.000304177797562998,0.000220087046010236,,,,,0.710550838307817,FALSE,250,,3794.40257285306,,0.0317218088643602,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1757,9,0,"chol_eigen_fallback","chol","chol","glofas_deep_identity_d4w100m300a050_full7_20260618_p15"
"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p35","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7","qdesn_glofas_discrepancy",0.35,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,1.43306041994037,0.00653682465223963,0.916554158905714,0.00835243451362662,0.0821790727818306,0.0550051055351498,0.0006001798457637,0.000377720787173273,,,,,0.780587373215692,FALSE,250,,-4253.86944174297,,0.0502627032653256,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1757,9,0,"chol_eigen_fallback","chol","chol","glofas_deep_identity_d4w100m300a050_full7_20260618_p35"
"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p50","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7","qdesn_glofas_discrepancy",0.5,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,1.56980635750102,0.0073085687854534,0.989840682234365,0.00904962948670065,0.101683466019658,0.0602629723953146,0.000742626618755057,0.000413826628439309,,,,,0.826618904484576,FALSE,250,,-6235.54386981374,,0.0538541343437678,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1757,9,0,"chol_eigen_fallback","chol","chol","glofas_deep_identity_d4w100m300a050_full7_20260618_p50"
"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p65","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7","qdesn_glofas_discrepancy",0.65,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,1.72064087870385,0.00780484519048268,1.06461303712266,0.00914904812115795,0.108999914826437,0.055968454619936,0.000796060966062047,0.000384336118079157,,,,,0.900192741909603,TRUE,152,,-6164.2186890165,,0.000991368093604339,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1071,9,0,"chol_eigen_fallback","chol","chol","glofas_deep_identity_d4w100m300a050_full7_20260618_p65"
"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p80","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7","qdesn_glofas_discrepancy",0.8,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,1.92707406883783,0.00769156253746454,1.18193942087905,0.00870733910021928,0.0983557181493746,0.0415969408399933,0.000718323020090354,0.000285646742883566,,,,,1.05618674220349,FALSE,250,,-3458.55163563782,,0.00255231647037768,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1757,9,0,"chol_eigen_fallback","chol","chol","glofas_deep_identity_d4w100m300a050_full7_20260618_p80"
"qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7_p95","qdesn_latent_path_rhs_al_vb_glofas_deep_identity_d4w100m300a050_full7","qdesn_glofas_discrepancy",0.95,"vb","al","rhs_ns",2000,802,401,401,TRUE,TRUE,2.4238941136649,0.00631189931500685,1.58894784655308,0.00641467005701722,0.0483540181318346,0.0141259380536701,0.000353144738216565,9.70030034354453e-05,,,,,1.54084527497781,TRUE,235,,8539.59608167067,,0.000989343455450906,"latent_path_ensemble_likelihood",28,"first_order_delta_expected_log_joint","streamed_grouped","linearized_delta","grouped",FALSE,"exact",,1652,9,0,"chol_eigen_fallback","chol","chol","glofas_deep_identity_d4w100m300a050_full7_20260618_p95"
