region,R98_mean_AQL,cached_PriceFM_mean_AQL,deprecated_R92_mean_AQL,R98_minus_PriceFM,R98_minus_deprecated_R92
AT,7.871719487696253,7.049858055045328,7.086040353046489,0.821861432650925,0.7856791346497642
BE,5.829317575503517,5.875118424266732,5.877689178100289,-0.04580084876321422,-0.04837160259677198
BG,9.659484461391932,8.539757266774656,8.023185001986684,1.1197271946172762,1.6362994594052473
CZ,6.943891919036234,6.8469908771420664,6.776681626740832,0.09690104189416715,0.16721029229540196
DE_LU,5.9431217967572065,5.569462008620629,5.845326978918862,0.3736597881365773,0.0977948178383441
DK_1,6.27137310355621,8.383401445481503,7.507324714188911,-2.112028341925293,-1.2359516106327009
DK_2,8.026733075151016,8.560343847517423,6.679140436894108,-0.5336107723664067,1.3475926382569083
EE,14.057361130756966,16.249592438117293,13.85530438384447,-2.192231307360327,0.20205674691249698
ES,5.148337627632952,6.188284971071085,5.3332205953202605,-1.0399473434381328,-0.18488296768730805
FI,8.79444151143724,8.226488826011467,8.873741191520176,0.567952685425773,-0.07929968008293642
FR,5.647679406002474,7.392693194589974,5.69942186214091,-1.7450137885874994,-0.05174245613843542
GR,7.424853841799149,7.59429520864973,7.618690087221515,-0.16944136685058098,-0.1938362454223661
HR,14.240025858286122,9.757485380037227,8.83112327988397,4.482540478248895,5.408902578402152
HU,11.223828676827154,8.122507433282662,8.469789170848884,3.1013212435444917,2.7540395059782696
IT_CALA,4.963992162366072,5.544897515547501,5.93057598585204,-0.5809053531814294,-0.9665838234859683
IT_CNOR,5.800073883082372,5.271928931175846,4.663480197878599,0.5281449519065262,1.1365936852037732
IT_CSUD,5.263063885163038,5.20927297915781,5.00991385133437,0.05379090600522751,0.25315003382866763
IT_NORD,4.934438707853817,6.807064770109959,5.529383133884411,-1.872626062256142,-0.5949444260305938
IT_SARD,6.378619685481568,6.231048850327132,6.756075351950689,0.14757083515443625,-0.3774556664691211
IT_SICI,5.404572574279599,5.943403845107192,5.518616835111959,-0.5388312708275933,-0.11404426083235997
IT_SUD,5.104691648535088,5.237687464201836,5.185805912760254,-0.13299581566674856,-0.08111426422516654
LT,12.974683399142952,12.60591052056238,12.665377852657251,0.36877287858057173,0.3093055464857013
LV,13.430000981230753,12.38345720178807,12.324910737099708,1.0465437794426826,1.1050902441310448
NL,6.710306821661668,6.904792742792111,5.975463852084797,-0.19448592113044327,0.7348429695768708
NO_1,6.68808063314549,5.939750654556197,6.1559532115233395,0.7483299785892932,0.5321274216221505
NO_2,5.529307819369059,5.011916136533714,5.384285893678606,0.5173916828353446,0.14502192569045302
NO_3,3.4870134167166653,3.148366167240853,3.4933321331545777,0.3386472494758124,-0.006318716437912375
NO_4,2.275446568268414,1.9697208351404694,2.2828911009403137,0.3057257331279448,-0.007444532671899484
NO_5,3.953701855842661,3.797745576333664,3.9466406386495763,0.15595627950899704,0.007061217193084612
PL,7.46974123660966,7.283764013410445,7.4953921748963594,0.18597722319921495,-0.02565093828669962
PT,5.525919377156765,6.8304170405914455,6.349555849762549,-1.30449766343468,-0.8236364726057834
RO,8.389470988760026,7.728886362067982,8.012696564015664,0.6605846266920441,0.3767744247443616
SE_1,4.281650293917244,4.676232331143104,4.861655775848537,-0.3945820372258595,-0.580005481931293
SE_2,4.737852702645161,4.16155441511832,4.925165815337771,0.576298287526841,-0.18731311269261042
SE_3,7.074764458188798,7.091767009072755,6.961154825828462,-0.017002550883956857,0.11360963236033594
SE_4,8.104499909911626,7.900353973401416,8.09900410393318,0.2041459365102094,0.005495805978446455
SI,7.807406599198308,7.923156356031238,7.473710320312663,-0.11574975683292976,0.333696278885645
SK,10.874809073433253,7.510668100290616,7.822020998724668,3.3641409731426375,3.0527880747085856
