"independent_mcmc_case_id","joint_mcmc_case_id","base_scenario_id","dgp_replicate_id","variant_id","n_draws","score_delta_mean","score_delta_median","score_delta_q025","score_delta_q975","relative_score_delta_mean","probability_lower_score","probability_practical_superiority","probability_noninferior","numerical_winner","evidence_strength","joint_raw_crossing_pairs","joint_contract_crossing_pairs","independent_raw_crossing_pairs","independent_contract_crossing_pairs","crossing_comparison"
"asymmetric_laplace_tail__qdesn_rhs_independent","asymmetric_laplace_tail__joint_qdesn_rhs","asymmetric_laplace_tail","article_fixture","AL",3750,0.426275296054659,0.404808518430378,0.0183523052203739,0.988014820251403,1.20612892360884,0.0122666666666667,0.00986666666666667,0.0157333333333333,"independent","directional_interval_favors_independent",606,0,1296,0,"both_contract_zero"
"asymmetric_laplace_tail__exqdesn_rhs_independent","asymmetric_laplace_tail__joint_exqdesn_rhs","asymmetric_laplace_tail","article_fixture","exAL",3750,0.146312285029291,0.086409147093673,-0.00367597707426616,0.567664422945906,0.440897555661931,0.0370666666666667,0.0258666666666667,0.0501333333333333,"independent","overlapping_interval_descriptive_order_only",0,0,269,0,"both_contract_zero"
"gaussian_mixture_bridge__qdesn_rhs_independent","gaussian_mixture_bridge__joint_qdesn_rhs","gaussian_mixture_bridge","article_fixture","AL",3750,0.204350253975419,0.188094742802042,0.0367934117517342,0.467761950755163,0.514425908748972,0,0,0.000533333333333333,"independent","directional_interval_favors_independent",0,0,419,0,"both_contract_zero"
"gaussian_mixture_bridge__exqdesn_rhs_independent","gaussian_mixture_bridge__joint_exqdesn_rhs","gaussian_mixture_bridge","article_fixture","exAL",3750,0.032520592115216,0.020146387582923,-0.006008194865817,0.139666220374279,0.0827662155958399,0.107733333333333,0.0429333333333333,0.197066666666667,"independent","overlapping_interval_descriptive_order_only",0,0,0,0,"both_contract_zero"
"laplace_bridge__qdesn_rhs_independent","laplace_bridge__joint_qdesn_rhs","laplace_bridge","article_fixture","AL",3750,0.0378412798365892,0.035103399226527,-0.00944801766827479,0.0995295795624037,0.109859548714248,0.0584,0.0466666666666667,0.0805333333333333,"independent","overlapping_interval_descriptive_order_only",424,0,1512,0,"both_contract_zero"
"laplace_bridge__exqdesn_rhs_independent","laplace_bridge__joint_exqdesn_rhs","laplace_bridge","article_fixture","exAL",3750,-0.00140087992014217,-0.00150980027167052,-0.0217106810166049,0.0199282662360844,-0.00377317830177125,0.573333333333333,0.4152,0.722933333333333,"joint","overlapping_interval_descriptive_order_only",0,0,0,0,"both_contract_zero"
"nonlinear_reservoir_friendly__qdesn_rhs_independent","nonlinear_reservoir_friendly__joint_qdesn_rhs","nonlinear_reservoir_friendly","article_fixture","AL",3750,0.0426015300365014,0.040569492015196,0.00558598157812433,0.0880880738845861,0.0987200056018926,0.0144,0.00453333333333333,0.0226666666666667,"independent","directional_interval_favors_independent",2,0,0,0,"both_contract_zero"
"nonlinear_reservoir_friendly__exqdesn_rhs_independent","nonlinear_reservoir_friendly__joint_exqdesn_rhs","nonlinear_reservoir_friendly","article_fixture","exAL",3750,0.01614314358717,0.01439530937128,0.000184066828266389,0.0420759345254366,0.0376192961640047,0.0232,0.00373333333333333,0.0997333333333333,"independent","directional_interval_favors_independent",0,0,0,0,"both_contract_zero"
"normal_bridge__qdesn_rhs_independent","normal_bridge__joint_qdesn_rhs","normal_bridge","article_fixture","AL",3750,0.00517188870952431,0.0045304626493245,-0.0482038942007733,0.0618870119167869,0.0173382477130865,0.426933333333333,0.378666666666667,0.484533333333333,"independent","overlapping_interval_descriptive_order_only",165,0,288,0,"both_contract_zero"
"normal_bridge__exqdesn_rhs_independent","normal_bridge__joint_exqdesn_rhs","normal_bridge","article_fixture","exAL",3750,0.000788146487986223,-0.00154327499559948,-0.0393954854293319,0.0558171232775534,0.00377774667627033,0.532266666666667,0.4616,0.597066666666667,"independent","overlapping_interval_descriptive_order_only",0,0,0,0,"both_contract_zero"
"persistent_heavy_tail__qdesn_rhs_independent","persistent_heavy_tail__joint_qdesn_rhs","persistent_heavy_tail","article_fixture","AL",3750,0.00939561139986756,0.0024200513067035,-0.0203832709015739,0.0771922428419964,0.0254683973303635,0.4208,0.288533333333333,0.5336,"independent","overlapping_interval_descriptive_order_only",0,0,0,0,"both_contract_zero"
"persistent_heavy_tail__exqdesn_rhs_independent","persistent_heavy_tail__joint_exqdesn_rhs","persistent_heavy_tail","article_fixture","exAL",3750,0.0160241229553422,0.010987932020757,-0.0141842409674377,0.0787095833922455,0.0435595688326272,0.199466666666667,0.1176,0.299733333333333,"independent","overlapping_interval_descriptive_order_only",0,0,0,0,"both_contract_zero"
"regime_shift__qdesn_rhs_independent","regime_shift__joint_qdesn_rhs","regime_shift","article_fixture","AL",3750,0.00383763796127798,0.00221212275891,-0.0126334324862524,0.0265837232457588,0.00900589452939528,0.3728,0.151733333333333,0.592266666666667,"independent","overlapping_interval_descriptive_order_only",0,0,3,0,"both_contract_zero"
"regime_shift__exqdesn_rhs_independent","regime_shift__joint_exqdesn_rhs","regime_shift","article_fixture","exAL",3750,0.00874421240486077,0.006915983890115,-0.00849096158441916,0.0350596511845927,0.0203694120684665,0.208266666666667,0.0696,0.3888,"independent","overlapping_interval_descriptive_order_only",0,0,0,0,"both_contract_zero"
"student_t_location_scale__qdesn_rhs_independent","student_t_location_scale__joint_qdesn_rhs","student_t_location_scale","article_fixture","AL",3750,0.0192200209497127,0.00599415125295052,-0.0313568382465786,0.13791624587776,0.0542135144234869,0.4,0.336,0.464266666666667,"independent","overlapping_interval_descriptive_order_only",0,0,4,0,"both_contract_zero"
"student_t_location_scale__exqdesn_rhs_independent","student_t_location_scale__joint_exqdesn_rhs","student_t_location_scale","article_fixture","exAL",3750,0.0174389415578134,0.00712926373744449,-0.0224387123798018,0.108911277654906,0.0501352643227749,0.340533333333333,0.249866666666667,0.4248,"independent","overlapping_interval_descriptive_order_only",0,0,0,0,"both_contract_zero"
