"origin_date","target_date","horizon","member","glofas_streamflow","value"
2022-12-25,2022-12-26,1,"member_00",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_01",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_02",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_03",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_04",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_05",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_06",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_07",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_08",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_09",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_10",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_11",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_12",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_13",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_14",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_15",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_16",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_17",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_18",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_19",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_20",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_21",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_22",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_23",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_24",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_25",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_26",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_27",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_28",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_29",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_30",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_31",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_32",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_33",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_34",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_35",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_36",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_37",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_38",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_39",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_40",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_41",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_42",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_43",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_44",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_45",0.3125,0.271933715483642
2022-12-25,2022-12-26,1,"member_46",0.3125,0.271933715483642
