"mcmc_case_id","case_id","scenario_id","base_scenario_id","source_model_id","model_id","display_label","likelihood_family","fit_structure","window","rows","oracle_quantile_mae","oracle_quantile_rmse","oracle_quantile_bias"
"laplace_bridge__exqdesn_rhs_independent","laplace_bridge__exqdesn_rhs_independent","laplace_bridge","laplace_bridge","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0.137881650546272,0.177700125224044,-0.0408171848918269
"nonlinear_reservoir_friendly__joint_qdesn_rhs","nonlinear_reservoir_friendly__joint_qdesn_rhs","nonlinear_reservoir_friendly","nonlinear_reservoir_friendly","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,0.210491681095282,0.28141313140212,-0.0580739570647864
"nonlinear_reservoir_friendly__joint_qdesn_rhs","nonlinear_reservoir_friendly__joint_qdesn_rhs","nonlinear_reservoir_friendly","nonlinear_reservoir_friendly","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,0.365184798552417,0.488079526491643,0.24239636286605
"nonlinear_reservoir_friendly__qdesn_rhs_independent","nonlinear_reservoir_friendly__qdesn_rhs_independent","nonlinear_reservoir_friendly","nonlinear_reservoir_friendly","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,0.149689694986597,0.212599926429255,-0.0533859500720477
"nonlinear_reservoir_friendly__qdesn_rhs_independent","nonlinear_reservoir_friendly__qdesn_rhs_independent","nonlinear_reservoir_friendly","nonlinear_reservoir_friendly","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,0.174023879114692,0.245668285818157,-0.0883655601001042
"nonlinear_reservoir_friendly__joint_exqdesn_rhs","nonlinear_reservoir_friendly__joint_exqdesn_rhs","nonlinear_reservoir_friendly","nonlinear_reservoir_friendly","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0.183635588718614,0.238254056896551,-0.0714297360219192
"nonlinear_reservoir_friendly__joint_exqdesn_rhs","nonlinear_reservoir_friendly__joint_exqdesn_rhs","nonlinear_reservoir_friendly","nonlinear_reservoir_friendly","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0.221954542636622,0.274341573621629,0.09127754591405
"nonlinear_reservoir_friendly__exqdesn_rhs_independent","nonlinear_reservoir_friendly__exqdesn_rhs_independent","nonlinear_reservoir_friendly","nonlinear_reservoir_friendly","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0.135954109184969,0.175258606084715,-0.0692865773623765
"nonlinear_reservoir_friendly__exqdesn_rhs_independent","nonlinear_reservoir_friendly__exqdesn_rhs_independent","nonlinear_reservoir_friendly","nonlinear_reservoir_friendly","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0.137045710966656,0.174127544924804,-0.0700702168644763
"normal_bridge__joint_qdesn_rhs","normal_bridge__joint_qdesn_rhs","normal_bridge","normal_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,0.125923622245006,0.157514809560111,0.0454238806765975
"normal_bridge__joint_qdesn_rhs","normal_bridge__joint_qdesn_rhs","normal_bridge","normal_bridge","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,0.289718805951639,0.37196964655574,0.181242438546336
"normal_bridge__qdesn_rhs_independent","normal_bridge__qdesn_rhs_independent","normal_bridge","normal_bridge","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,0.0983556861329065,0.127265197221385,0.0453733251034485
"normal_bridge__qdesn_rhs_independent","normal_bridge__qdesn_rhs_independent","normal_bridge","normal_bridge","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,0.250458879310689,0.301386996309494,0.139864850621023
"normal_bridge__joint_exqdesn_rhs","normal_bridge__joint_exqdesn_rhs","normal_bridge","normal_bridge","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0.11157150619337,0.135236524314063,0.051310117905695
"normal_bridge__joint_exqdesn_rhs","normal_bridge__joint_exqdesn_rhs","normal_bridge","normal_bridge","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0.190792243898931,0.235676103399643,0.173886281497913
"normal_bridge__exqdesn_rhs_independent","normal_bridge__exqdesn_rhs_independent","normal_bridge","normal_bridge","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0.100249006568198,0.121313523024293,0.0512923676990444
"normal_bridge__exqdesn_rhs_independent","normal_bridge__exqdesn_rhs_independent","normal_bridge","normal_bridge","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0.188055387939259,0.231285605385839,0.140783586479641
"persistent_heavy_tail__joint_qdesn_rhs","persistent_heavy_tail__joint_qdesn_rhs","persistent_heavy_tail","persistent_heavy_tail","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,0.143728929846538,0.18485237996714,-0.0432247059993189
"persistent_heavy_tail__joint_qdesn_rhs","persistent_heavy_tail__joint_qdesn_rhs","persistent_heavy_tail","persistent_heavy_tail","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,0.197811096093127,0.240370253687831,-0.119724520252758
"persistent_heavy_tail__qdesn_rhs_independent","persistent_heavy_tail__qdesn_rhs_independent","persistent_heavy_tail","persistent_heavy_tail","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,0.135543801433535,0.180408898191029,-0.0447749302523273
"persistent_heavy_tail__qdesn_rhs_independent","persistent_heavy_tail__qdesn_rhs_independent","persistent_heavy_tail","persistent_heavy_tail","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,0.190571154787508,0.262627462475342,-0.00667634916160127
"persistent_heavy_tail__joint_exqdesn_rhs","persistent_heavy_tail__joint_exqdesn_rhs","persistent_heavy_tail","persistent_heavy_tail","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0.125044584408931,0.159922946894512,-0.0271327091766039
"persistent_heavy_tail__joint_exqdesn_rhs","persistent_heavy_tail__joint_exqdesn_rhs","persistent_heavy_tail","persistent_heavy_tail","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0.137439210437993,0.17516831038952,0.00577629831818726
"persistent_heavy_tail__exqdesn_rhs_independent","persistent_heavy_tail__exqdesn_rhs_independent","persistent_heavy_tail","persistent_heavy_tail","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0.100867850631267,0.13077511993457,-0.0258101824111152
"persistent_heavy_tail__exqdesn_rhs_independent","persistent_heavy_tail__exqdesn_rhs_independent","persistent_heavy_tail","persistent_heavy_tail","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0.0895904870690833,0.11323731993735,0.0101459034582776
"regime_shift__joint_qdesn_rhs","regime_shift__joint_qdesn_rhs","regime_shift","regime_shift","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,0.08080784680936,0.0990517279832899,-0.0612628141113264
"regime_shift__joint_qdesn_rhs","regime_shift__joint_qdesn_rhs","regime_shift","regime_shift","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,0.13657036104566,0.153587787470768,-0.133597429113947
"regime_shift__qdesn_rhs_independent","regime_shift__qdesn_rhs_independent","regime_shift","regime_shift","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,0.0909609700489131,0.118647502765801,-0.0651621464301379
"regime_shift__qdesn_rhs_independent","regime_shift__qdesn_rhs_independent","regime_shift","regime_shift","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,0.094586889614283,0.116544996470003,-0.0728443145770892
"regime_shift__joint_exqdesn_rhs","regime_shift__joint_exqdesn_rhs","regime_shift","regime_shift","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0.0854176997834176,0.11100188277386,-0.0522676597469998
"regime_shift__joint_exqdesn_rhs","regime_shift__joint_exqdesn_rhs","regime_shift","regime_shift","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0.182420292052413,0.216896475844881,-0.171602322671119
"regime_shift__exqdesn_rhs_independent","regime_shift__exqdesn_rhs_independent","regime_shift","regime_shift","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0.0805088985978728,0.102216493261424,-0.0526419415052914
"regime_shift__exqdesn_rhs_independent","regime_shift__exqdesn_rhs_independent","regime_shift","regime_shift","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0.100277299176185,0.124851390955453,-0.0749772302341342
"student_t_location_scale__joint_qdesn_rhs","student_t_location_scale__joint_qdesn_rhs","student_t_location_scale","student_t_location_scale","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,0.103534271885775,0.135491830975938,0.00793158682551031
"student_t_location_scale__joint_qdesn_rhs","student_t_location_scale__joint_qdesn_rhs","student_t_location_scale","student_t_location_scale","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,0.210151393432559,0.258746868434814,-0.116934252323215
"student_t_location_scale__qdesn_rhs_independent","student_t_location_scale__qdesn_rhs_independent","student_t_location_scale","student_t_location_scale","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,0.11125840966393,0.155027330111304,0.00841068975613537
"student_t_location_scale__qdesn_rhs_independent","student_t_location_scale__qdesn_rhs_independent","student_t_location_scale","student_t_location_scale","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,0.330224426978116,0.512728786234035,0.00788033131120422
"student_t_location_scale__joint_exqdesn_rhs","student_t_location_scale__joint_exqdesn_rhs","student_t_location_scale","student_t_location_scale","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0.115819038525484,0.145091707150465,0.0111126000846889
"student_t_location_scale__joint_exqdesn_rhs","student_t_location_scale__joint_exqdesn_rhs","student_t_location_scale","student_t_location_scale","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0.171923837837978,0.212971876710864,-0.146103738482767
"student_t_location_scale__exqdesn_rhs_independent","student_t_location_scale__exqdesn_rhs_independent","student_t_location_scale","student_t_location_scale","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0.104753519269999,0.13343697519658,0.0119387371644748
"student_t_location_scale__exqdesn_rhs_independent","student_t_location_scale__exqdesn_rhs_independent","student_t_location_scale","student_t_location_scale","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0.0842953810373222,0.110414945720188,-0.00744043733980178
